SIREN;Dénomination;Code APE;Adresse;Code postal;Tranche effectifs;SIRET;Date de création;TOTAL (II) (net) (BJNET) 2018 (€);TOTAL (II) (net) (BJNET) 2016 (€);Clients et comptes rattachés (3) (net) (BXNET) 2018 (€);Clients et comptes rattachés (3) (net) (BXNET) 2016 (€);Autres créances (3) (net) (BZNET) 2018 (€);Autres créances (3) (net) (BZNET) 2016 (€);Valeurs mobilières de placement (net) (CDNET) 2018 (€);Valeurs mobilières de placement (net) (CDNET) 2016 (€);Disponibilités (net) (CFNET) 2018 (€);Disponibilités (net) (CFNET) 2016 (€);TOTAL (III) (net) (CJNET) 2018 (€);TOTAL (III) (net) (CJNET) 2016 (€);TOTAL GENERAL(I à VI) (net) (CONET) 2018 (€);TOTAL GENERAL(I à VI) (net) (CONET) 2016 (€);Capital social ou individuel (1) (DA) 2018 (€);Capital social ou individuel (1) (DA) 2016 (€);Report à nouveau (DH) 2018 (€);Report à nouveau (DH) 2016 (€);RESULTAT DE L'EXERCICE (bénéfice ou perte) (DI) 2018 (€);RESULTAT DE L'EXERCICE (bénéfice ou perte) (DI) 2016 (€);TOTAL (I) (DL) 2018 (€);TOTAL (I) (DL) 2016 (€);TOTAL(II) (DO) 2018 (€);TOTAL(II) (DO) 2016 (€);TOTAL (III) (DR) 2018 (€);TOTAL (III) (DR) 2016 (€);Emprunts et dettes auprès des établissements de crédit (5) (DU) 2018 (€);Emprunts et dettes auprès des établissements de crédit (5) (DU) 2016 (€);Dettes fournisseurs et comptes rattachés (DX) 2018 (€);Dettes fournisseurs et comptes rattachés (DX) 2016 (€);Dettes fiscales et sociales (DY) 2018 (€);Dettes fiscales et sociales (DY) 2016 (€);dont comptes courants d'associés de l'exercice N (EA2) 2018 (€);dont comptes courants d'associés de l'exercice N (EA2) 2016 (€);Produits constatés d'avance (EB) 2018 (€);Produits constatés d'avance (EB) 2016 (€);TOTAL (IV) (EC) 2018 (€);TOTAL (IV) (EC) 2016 (€);Emprunts obligataires convertibles (DS) 2018 (€);Emprunts obligataires convertibles (DS) 2016 (€);Autres emprunts obligataires (DT) 2018 (€);Autres emprunts obligataires (DT) 2016 (€);Emprunts et dettes financières divers (DV) 2018 (€);Emprunts et dettes financières divers (DV) 2016 (€);(5) Dont concours bancaires courants, et soldes créditeurs de banques et CCP (EH) 2018 (€);(5) Dont concours bancaires courants, et soldes créditeurs de banques et CCP (EH) 2016 (€);TOTAL GENERAL (I à V) (EE) 2018 (€);TOTAL GENERAL (I à V) (EE) 2016 (€);Chiffre d'affaires net (France) (FJ) 2018 (€);Chiffre d'affaires net (France) (FJ) 2016 (€);Chiffre d'affaires net (Exportations et livraisons intracommunautaires) (FK) 2018 (€);Chiffre d'affaires net (Exportations et livraisons intracommunautaires) (FK) 2016 (€);Salaires et traitements (FY) 2018 (€);Salaires et traitements (FY) 2016 (€);Intérêts et charges assimilées (GR) 2018 (€);Intérêts et charges assimilées (GR) 2016 (€);Crédit client 2018 (j);Crédit client 2016 (j);Crédit fournisseurs 2018 (j);Crédit fournisseurs 2016 (j);Rotation des stocks 2018 (j);Rotation des stocks 2016 (j);BFR 2018 (€);BFR 2016 (€);Fonds de roulement net global 2018 (€);Fonds de roulement net global 2016 (€);BFRE 2018 (€);BFRE 2016 (€);CA par employé 2018 (€);CA par employé 2016 (€);Liquidité générale 2018;Liquidité générale 2016;Liquidité réduite 2018;Liquidité réduite 2016;CAF 2018;CAF 2016;Autonomie financière 2018;Autonomie financière 2016;MARGE COMMERCIALE  2018 (€);MARGE COMMERCIALE  2016 (€);PRODUCTION DE L'EXERCICE 2018 (€);PRODUCTION DE L'EXERCICE 2016 (€);VALEUR AJOUTEE 2018 (€);VALEUR AJOUTEE 2016 (€);EBE ( EXCEDENT BRUT D'EXPLOITATION ) 2018 (€);EBE ( EXCEDENT BRUT D'EXPLOITATION ) 2016 (€);Charges de personnel 2018 (€);Charges de personnel 2016 (€);RESULTAT D'EXPLOITATION 2018 (€);RESULTAT D'EXPLOITATION 2016 (€);RESULTAT COURANT AVANT IMPOTS 2018 (€);RESULTAT COURANT AVANT IMPOTS 2016 (€);Produits financiers 2018 (€);Produits financiers 2016 (€)
398471565;ORCHESTRA-PREMAMAN;4771Z;200 AV DES TAMARIS;34130;De 1000 à 1999 salariés;39847156501990;22/09/1994;241492000;217352000;49947000;25010000;29264000;13061000;184000;16613000;22678000;10982000;318008000;234059000;560606000;451573000;22246000;19204000;-47626000;639000;-26459000;-10861000;2667000;28978000;0;0;5283000;710000;171798000;168815000;212257000;146937000;33291000;20052000;0;0;33265000;15527000;552266000;421841000;0;0;0;0;65388000;47378000;0;0;560606000;451573000;532646000;369545000;0;118383000;39185000;31458000;17952000;7046000;28,5221563665174;15,5908419548239;138,251772897773;105,395888947582;140,417642248188;119,881938200918;-19934000;816000;2931000;28411000;-25828000;-5468000;315548,578199052;325502,334889927;1,09331653744478;1,18508213190547;0,362198605468126;0,345390567059925;1936000;13324000;0,475735186565966;6,41712414161166;0;-273301000;532646000;487928000;78589000;60180000;20106000;11972000;50638000;40707000;-2932000;1869000;-18500000;1830000;2384000;8795000
572158905;THOMAS COOK SAS / THOMAS COOK;7912Z;92 BD VICTOR HUGO;92110;0 salarié à la fin de l'année;57215890500487;01/01/1957;40123285;42486811;28896261;23540855;120885813;169940148;0;0;16195623;9849054;187117265;222631805;227872779;265315560;10000000;10000000;-16529949;-8988952;-26132168;-21943609;5174174;16922688;0;0;11894225;16669024;2348614;1239999;127078549;103039825;13109314;12797180;0;0;0;0;209913547;231057173;0;0;0;0;7059264;56013632;2348614;1239999;227872779;265315560;413031650;365252660;4172037;0;32288997;31847544;927368;3988773;21,0671181999885;19,6038098668467;97,67167004765;91,9963994660149;0;0;-29584028;38979209;-13388405;49025207;-153144933;-135009919;0;0;0,909234788007902;1,24873402212539;0,909234788007902;1,24873402212539;-22351785;-28145573;2,27064154951127;6,37832473903905;-687;-14163;417203687;365252660;21458855;24573239;-26275396;-23028957;45707971;45736681;-30879123;-21807570;-27433530;-24299325;5005190;2069881
552042285;ELECTROLUX HOME PRODUCTS FRANCE;4643Z;43 AV FELIX LOUAT;60300;De 100 à 199 salariés;55204228500080;01/01/1976;1024254;5396173;24083204;37262827;85820919;35296328;3608002;0;0;4475940;113523346;77042884;114547600;82439057;67500000;67500000;-74231624;-62483679;-16031680;1197326;-15843110;13133841;0;0;9639804;13411069;19456;0;77055435;25799432;13242734;6708380;0;0;0;129041;120750906;55894147;0;0;0;0;0;0;0;0;114547600;82439057;284026607;275062649;2800800;11459085;9036698;7491720;1357756;907255;25,5390782065909;39,5575911688347;88,4615803311905;29,2440799691628;0;0;-10816106;16672797;-7208104;21148737;-96648246;-17807786;0;0;0,940203434483752;1,38142109870642;0,940203434483752;1,38142109870642;-11567610;-3088827;-13,831027450597;15,9315759761784;59175264;55382680;1363390;2604813;21879678;18182731;7579606;5255408;13106512;11960542;6455221;1923214;5107532;1018800;11142;11884
410127948;ALTEO GARDANNE;2442Z;RTE DE BIVER;13120;De 500 à 999 salariés;41012794800058;25/11/1996;66163947;58063525;19096127;22065917;4255256;4680577;0;0;2934305;3406573;86353288;88304671;152623372;146851732;60000000;60000000;-47776616;-41602920;2691108;-14593039;54240059;41671909;0;0;21480298;25902404;1271461;3727931;42839732;38922746;10562163;8459377;0;0;2045;1575;76681200;78875800;0;0;0;0;14158504;24363394;0;0;152623372;146851732;45300146;206688323;197714902;0;23711255;20959349;525128;580682;23,90142233428;32,4726444310709;65,4239377100837;67,0142029520724;89,6280136202629;92,4068327151351;22167749;34113623;25102054;37520196;23750496;30673442;511610,627368421;466565,063205418;1,39724651701103;1,71985461641616;0,444472154561916;0,608980227596297;8927719;-7159243;35,5385012722691;28,3768590485538;0;-66141;232129106;196062371;46662104;22583510;7606191;-10804176;35399494;31366368;5364129;-16140431;3956792;-15235570;197204;3101378
313777997;MACO PRODUCTIONS;3250A;200 CHS FERNAND FOREST;59200;De 500 à 999 salariés;31377799700039;01/01/1978;38878240;39029262;14936266;19979980;26951461;20057229;0;0;203131;115146;69999071;69564227;108877311;108593489;90000000;30000000;-31392712;-11439076;-10923454;-5951457;57162410;18847299;0;0;2889591;3581225;2350;1956;11325957;14357038;14223120;12335517;0;0;3116;0;48825310;86164964;0;0;0;0;0;155222;0;0;108877311;108593489;51141801;38981395;92967547;89409957;41762326;38881356;144434;812482;31,5254652437028;47,3337481224332;38,5025242277662;51,2921209345128;61,6938847160246;77,4577969308897;20972979;-16558705;21176112;-16443559;-2331979;-35095642;113115,657770801;101897,898412698;1,42126649521317;0,799197005257175;0,870406470975072;0,468962205351967;-8730923;-2842859;52,5016731906614;17,355827843417;919521;79711010;135564182;43174729;53801746;45726886;-7334954;-10753863;57479429;52676682;-14997327;-5449388;-15138151;-6278541;12167;7319
388231847;NOBLADIS / LECLERC;4711F;62 BD DE LA CROISETTE;06400;De 250 à 499 salariés;38823184700079;16/07/1992;16652034;16283306;671400;411661;11394740;8459217;150181;1863375;372554;3090116;24843879;28344731;41495914;44628037;152159;152159;9559638;9692538;490253;995084;14289631;15016744;0;0;737740;457244;10469741;8746639;11314195;14058714;3557371;5853258;0;0;152765;184782;26468543;29154048;0;0;0;0;372127;10338;0;0;41495914;44628037;132175561;139712011;0;0;11096241;11610740;161569;86252;1,54504734804946;0,896228301612045;30,3222536295933;35,6205523999593;30,0809489009509;34,8162259768596;8694473;2994170;9217205;7947658;-3425220;-6464451;0;0;1,52405853285793;1,34376410033342;0,82021896603101;0,690476951446566;285559;1742851;34,4362363002777;33,6486769516661;21065709;22737912;11907689;13470615;16821826;19475216;19473;1666314;14435828;15156710;23180;1281837;66651;1837256;205040;641672
538851205;ADVEO FRANCE;4649Z;RTE D EVE;77230;De 250 à 499 salariés;53885120500079;27/12/2011;81991641;101528051;29592103;23029219;2648796;94419321;1019102;1590014;22986662;598930;87959300;138906631;170824571;241123141;62303000;62303000;17580653;33092979;-36759985;3749124;45790801;100928110;0;0;4959988;2200122;68345636;65586762;20633242;33358932;7900168;7659805;0;0;53500;233726;119978541;137994909;0;0;0;0;916449;28445341;0;135475;170729330;241123141;0;305483971;0;0;9661012;14041049;2464158;3441260;62,264223463272;22,9299126767167;54,093948692441;40,6387897751822;25,4034442126061;23,4361686418098;-11483251;92754882;38021233;95632284;-36141972;-1825678;0;827869,840108401;1,15982293263492;3,15767660244131;1,03182091277076;2,72742960688875;3486823;5282078;26,8206997590865;41,8574963736061;30306966;39855848;18843879;23373017;21200910;32283217;5694297;10445977;13756922;19328528;5919088;11558093;-22076138;10139247;961573;2039020
309066876;SODIREV / LECLERC;4711F;62 BD DE LA CROISETTE;06400;De 250 à 499 salariés;30906687600090;01/01/1977;14094538;16032665;316913;301458;11649455;7432398;150000;4150000;1257836;3985233;23761336;27674043;37855874;43706708;121273;121273;10137198;11946075;1202731;1126960;16277477;18636286;0;0;605226;582520;7372145;9529364;10186199;10035027;3166892;4459715;0;0;0;27478;20973171;24487900;0;0;0;0;0;0;0;0;37855874;43706708;109494945;110706701;0;0;9974939;9732122;95296;70818;0,880354529913078;0,828255870437328;33,0538390234622;32,2453891851983;30,5662621665022;35,2498190733383;8752474;4580276;10160310;12715505;-4106126;-4025445;0;254498,163218391;1,65812424739134;1,770353282447;0,98332316988439;1,06282442447473;259113;1203966;42,9985502382008;42,6394181872494;16106810;16422236;13588025;13732597;15235099;16648371;159421;1919317;12999289;12556824;-101879;1318456;-112098;1917384;92700;669745
798998670;ONESIKKS;1413Z;94 RUE CHOLETAISE;49450;De 50 à 99 salariés;79899867000011;27/11/2013;62269;51142;10288860;24428598;32246667;25456518;0;0;14177085;12410297;70365613;77853613;70465804;77912640;15000000;15000000;0;0;568075;1251881;15568100;16251912;0;0;267990;582225;4478315;0;22490954;33855359;958742;974423;0;0;0;0;54474703;60862100;0;0;0;0;43020;0;0;0;70465804;77912640;124231415;115366544;-2757501;15421851;3248424;2850572;409535;419099;25,7629631625791;56,8121141405551;59,925555365381;82,2863880848814;41,3946896557671;43,7022136915635;6235160;4581215;20412245;16991512;-26011509;-20856932;0;0;1,40862600095353;1,2791805034795;1,13531109654108;1,02355015644301;680543;924414;22,0931276112311;20,8591468598677;0;-9741809;119967713;130274096;6079830;5924704;1469940;1828863;4415178;3920247;1087819;846625;1069230;1439475;392086;3311695
349656678;VALLEGRAIN DISTRIBUTION;1011Z;ZA MOULIN DE BOURDINIERE;28330;De 1 à 2 salariés;34965667800027;01/01/1989;9751899;9107890;140877;383627;3063459;4194352;0;0;2096523;457291;6088318;5847328;15840217;14955218;1152213;1152213;-1371409;-66934;-2202790;-1667819;-1011308;741862;0;0;73200;0;696324;2492866;9786727;7044133;3209998;1554704;0;0;29212;20870;16778325;14213356;0;0;0;0;2721540;3064086;0;0;15840217;14955218;85408290;84690009;0;0;5009780;3779685;226371;232873;0,501708762697392;1,37780769197147;37,7680016935061;26,9952150014369;2,70192247073599;2,94866247470065;-9368666;-3266365;-7272143;-2809076;-12280727;-7542954;0;0;0,451061153305204;0,665184418842473;0,402847069854665;0,584666632621287;-1030717;-1163873;-6,38443273851615;4,96055624197521;705377;568014;81942525;81533128;6468844;5194122;-531931;-804376;6460236;5097597;-1420704;-1379391;-1628776;-1612075;91499;189
