,siret
45981367,48783731200015
64921350,80903808600017
52364400,51400628700015
40468033,44854837000015
56701635,53837495000011
30313027,41881885200026
73966962,90514687400011
74030264,91614008000018
69079832,83420569200025
24578697,40118958400022
70334927,84443473800028
17735581,38163596000010
35897635,43422260000026
55508253,53122412900019
73174358,89501786100025
2026546,30153716300018
12375780,34341421500024
67638296,82414470300017
33907091,42944834300021
63625867,80087056000011
17196191,38037925500017
28942429,41362454500047
74067016,94575441400429
62187010,79226861700018
54524705,52495945900016
54130418,52330907800013
71546203,87848668700014
8527460,33040614100011
23055244,39776013300025
4992572,31778006200905
53358090,52004641800015
40714938,44911453700029
64367446,80443530300016
49999430,50230792900013
19484037,38758140800052
58541267,73658015000190
1505867,26140150900011
33017958,42499641100015
20187510,38918012600028
54806302,52816227400021
66554350,81876006800010
71686452,87963445900017
48421774,49523205000023
63852661,80194705202079
13291377,34779978500022
49608484,50094278400025
27645232,41049373800018
58751247,75057508600012
45125912,48331270800025
37457039,43980223200017
72646918,89005778900012
2697193,30575746000038
29822070,41767758000017
58985168,75163822200016
72328434,88517969700010
44440024,48124818500011
63465274,80009778400014
46806841,49033544500014
70450145,84524058900018
23211271,39811044504871
66099206,81467072500039
140975,3900865100018
8468827,33022659800010
73518189,90032196900017
35594928,43359536000044
49125821,49944915500039
2678697,30563048500038
58190223,68203856700041
59345183,75324783200037
59492734,75391334200014
34420183,43069765600014
71615975,87905968100012
6844620,32489228000011
56810830,53885418300018
28440537,41238420800010
60423761,77987541800013
59463631,75377957800016
21106159,39129836100018
54245097,52378805700017
7191186,32610292800040
67531249,82359865100466
51745869,51147380300035
70660920,84877265300012
73295195,89807591600012
38624597,44239518200011
2714074,30585411900016
68030239,82814171300010
38379451,44183657400018
17264389,38053665600024
13197782,34755454500025
72535976,88900636700011
61131288,78538401700022
70833016,85005456000014
35007806,43227283900064
694148,20007207200040
56536075,53764689500020
69232804,83514008800021
13761277,34904694600027
28307360,41206002200065
923782,21390157200015
50960839,50822318700016
69621748,83961880800027
64818796,80853747600018
72699426,89054709400023
55052147,52921805900010
40196591,44792501700025
11815055,34194235700011
11473494,34098078800020
71052540,85173165300016
25736386,40379279900047
72908955,89248792700014
70416092,84498637200010
71054811,85175056200015
55199167,52985014100027
63356905,79958285300013
5029095,31793042800014
48610653,49784018100018
54124614,52328491700011
26577957,40793071800025
71207166,85290200600018
54953122,52879466200015
70023885,84230311700019
2492140,30455023900038
15341835,35306249000019
37927708,44081009100023
52273254,51363959100025
72281095,88476466300016
71952616,88185792400016
57732302,60205818200141
42940457,47577285100014
51671289,51116721500017
70060590,84255273900026
35766009,43395978000019
62135388,79203031400019
66922869,82057072900013
41142640,45009209300019
48739087,49824565300015
58454587,72204145600020
9461380,33324412700036
3655696,31153972000038
71149564,85247096200014
16649797,37913084200014
1163516,21750001616783
37920112,44079336200011
18417557,38321167900030
56167888,53412363300016
45385224,48409506200010
53356682,52004074200014
12037106,34253706500019
70317466,84431614100010
36332615,43521244400028
72098413,88312407500010
64530126,80522192600027
20668914,39027893500023
71460635,87779261400019
63025537,79804011900017
13683861,34885445600038
66231254,81529097800015
65444762,81160733200012
73009472,89343978600011
44910029,48265114800017
62874050,79644216800012
16975552,37990710800011
10949233,33953774800016
2750515,30607896500028
73514894,90029120400015
39201550,44369522600029
38242033,44152158000015
73629981,90145720000011
64432147,80474607100054
887045,21330449600051
65712979,81287048300011
33934610,42951520800032
51715288,51134681900010
6812929,32478018800011
67758769,82475421200010
4978856,31772270000018
29633142,41518587500010
51478725,51037518100045
53113568,51903444100013
51666574,51114804100011
19417246,38604419200014
16383981,37848767200024
51406422,51007782900016
70684029,84894414600010
48084880,49419263600012
45283538,48378680200015
32928331,42478476700016
62805201,79512421300013
48399423,49516309900023
62695207,79461776100026
41210548,45024834900026
3555199,31102582900046
38366861,44180842500017
54842961,52832255500012
68589368,83126138300010
66190750,81509896700012
33728470,42901248700014
57097051,54201095400015
73987247,90537968100018
43161397,47798821600016
51894138,51209413700019
65601423,81236806600013
71535773,87840525700014
61571162,78946299100017
40385296,44836177400012
69230534,83512566700013
25641140,40357050000021
24973915,40209111000013
44539920,48154577000010
26386167,40541038200015
9357198,33292010700015
