SIREN;Dénomination;SIRET;Code APE;Procédures collectives (type);Procédures collectives (date);Code postal;Date de création;Tranche effectifs;Capital souscrit non appelé (I) (AA) 2016 (€);TOTAL (II) (net) (BJNET) 2016 (€);Matières premières, approvisionnements (net) (BLNET) 2016 (€);En cours de production de biens (net) (BNNET) 2016 (€);En cours de production de services (net) (BPNET) 2016 (€);Produits intermédiaires et finis (net) (BRNET) 2016 (€);Marchandises (net) (BTNET) 2016 (€);Avances et acomptes versés sur commandes (net) (BVNET) 2016 (€);Clients et comptes rattachés (3) (net) (BXNET) 2016 (€);Autres créances (3) (net) (BZNET) 2016 (€);Capital souscrit et appelé, non versé (net) (CBNET) 2016 (€);Valeurs mobilières de placement (net) (CDNET) 2016 (€);Disponibilités (net) (CFNET) 2016 (€);Charges constatées d'avance (3) (net) (CHNET) 2016 (€);TOTAL (III) (net) (CJNET) 2016 (€);Primes de remboursement des obligations (CM) 2016 (€);Ecarts de conversion actif (CN) 2016 (€);TOTAL GENERAL(I à VI) (net) (CONET) 2016 (€);Capital social ou individuel (1) (DA) 2016 (€);Report à nouveau (DH) 2016 (€);RESULTAT DE L'EXERCICE (bénéfice ou perte) (DI) 2016 (€);TOTAL (I) (DL) 2016 (€);TOTAL(II) (DO) 2016 (€);TOTAL (III) (DR) 2016 (€);Autres emprunts obligataires (DT) 2016 (€);Emprunts obligataires convertibles (DS) 2016 (€);Emprunts et dettes auprès des établissements de crédit (5) (DU) 2016 (€);Emprunts et dettes financières divers (DV) 2016 (€);Avances et acomptes reçus sur commandes en cours (DW) 2016 (€);Dettes fournisseurs et comptes rattachés (DX) 2016 (€);Dettes fiscales et sociales (DY) 2016 (€);Dettes sur immobilisations et comptes rattachés (DZ) 2016 (€);Autres dettes (EA) 2016 (€);dont comptes courants d'associés de l'exercice N (EA2) 2016 (€);Produits constatés d'avance (EB) 2016 (€);TOTAL (IV) (EC) 2016 (€);TOTAL GENERAL (I à V) (EE) 2016 (€);(5) Dont concours bancaires courants, et soldes créditeurs de banques et CCP (EH) 2016 (€);Chiffre d'affaires net (France) (FJ) 2016 (€);Chiffre d'affaires net (Exportations et livraisons intracommunautaires) (FK) 2016 (€);Chiffre d'affaires net (Total) (FL) 2016 (€);Subventions d'exploitation (FO) 2016 (€);Reprises sur amortissements et provisions, transferts de charges (9) (FP) 2016 (€);Total des produits d'exploitation (2) (I) (FR) 2016 (€);Achats de marchandises (y compris droits de douane) (FS) 2016 (€);Variation de stock (marchandises) (FT) 2016 (€);Achats de matières premières et autres approvisionnements (y compris droits de douane) (FU) 2016 (€);Variation de stock (matières premières et approvisionnements) (FV) 2016 (€);Autres achats et charges externes (3) (6 bis) (FW) 2016 (€);Impôts, taxes et versements assimilés (FX) 2016 (€);Salaires et traitements (FY) 2016 (€);Charges sociales (10) (FZ) 2016 (€);Dotations d'exploitation sur immobilisations (dotations aux amortissements) (GA) 2016 (€);Dotations d'exploitation sur immobilisations (dotations aux provisions) (GB) 2016 (€);Dotations d'exploitation sur actif circulant (dotations aux provisions) (GC) 2016 (€);Dotations d'exploitation pour risques et charges (dotations aux provisions) (GD) 2016 (€);Autres charges (12) (GE) 2016 (€);Total des charges d'exploitation (4) (II) (GF) 2016 (€);1 - RESULTAT D'EXPLOITATION (I - II) (GG) 2016 (€);Total des produits financiers (V) (GP) 2016 (€);Intérêts et charges assimilées (GR) 2016 (€);Total des charges financières (VI) (GU) 2016 (€);Dotations financières aux amortissements et provisions (GQ) 2016 (€);Reprises sur provisions & transferts de charges (GM) 2016 (€);Total des produits exceptionnels (VII) (HD) 2016 (€);Reprises sur provisions & transferts de charges (HC) 2016 (€);Dotations exceptionnelles aux amortissements et provisions (6 ter) (HG) 2016 (€);Total des charges exceptionnelles (VIII) (HH) 2016 (€);4 - RESULTAT EXCEPTIONNEL (VII - VIII) (HI) 2016 (€);5 - BENEFICE OU PERTE (Total des produits - total des charges) (HN) 2016 (€);Participation des salariés aux résultats de l'entreprise (HJ) 2016 (€);Impôts sur les bénéfices (HK) 2016 (€);Clients douteux ou litigieux - Montant brut (VA) 2016 (€);Sécurité sociale et autres organismes sociaux - Montant brut (8D) 2016 (€);Impôts sur les bénéfices - Montant brut (8E) 2016 (€);T.V.A. - Montant brut (VW) 2016 (€);Emprunts remboursés en cours d’exercice (VK) 2016 (€);Emprunts souscrits en cours d’exercice - à 1 an au plus (VJ2) 2016 (€);Emprunts souscrits en cours d’exercice - à plus d'un an et 5 ans au plus (VJ3) 2016 (€);Emprunts souscrits en cours d’exercice - à plus de 5 ans (VJ4) 2016 (€);Effets portés à l’escompte et non échus (YS) 2016 (€);Sous‐traitance (YT) 2016 (€);Effectif moyen du personnel (YP) 2016;Ecarts de conversion passif (V) (ED) 2016 (€);Production stockée (FM) 2016 (€);Production immobilisée (FN) 2016 (€);(3) Dont Crédit-bail mobilier (HP) 2016 (€);(3) Dont Crédit-bail immobilier (HQ) 2016 (€);3 - RESULTAT COURANT AVANT IMPOTS (I - II + III - IV + V - VI) (GW) 2016 (€);Ville;Nombre de mois de l'exercice comptable 2016;Notation NOTA-PME 2016;Catégorie juridique (Niveau II)
398471565;ORCHESTRA-PREMAMAN;39847156501990;4771Z;"Jugement de conversion en liquidation judiciaire
Jugement de conversion en liquidation judiciaire
Jugement arrêtant un plan de cession
Jugement arrêtant un plan de cession
Jugement de conversion en redressement judiciaire de la procédure de sauvegarde
Jugement d'ouverture d'une procédure de sauvegarde
Jugement d'ouverture d'une procédure de sauvegarde
Jugement d'ouverture d'une procédure de sauvegarde
Jugement d'ouverture d'une procédure de sauvegarde";"14/02/2021
11/02/2021
07/07/2020
25/06/2020
12/05/2020
25/10/2019
11/10/2019
06/10/2019
27/09/2019";34130;22/09/1994;De 1000 à 1999 salariés;0;217352000;0;0;0;0;159643000;0;25010000;13061000;0;16613000;10982000;8750000;234059000;0;162000;451573000;19204000;639000;-10861000;28978000;0;710000;0;0;168815000;47378000;0;146937000;20052000;0;23132000;0;15527000;421841000;451573000;0;369545000;118383000;487928000;0;1604000;502442000;269605000;3696000;0;0;154447000;7501000;31458000;9249000;23218000;0;0;1122000;277000;500573000;1869000;8795000;7046000;8835000;1576000;114000;5318000;631000;554000;19306000;-13988000;-10861000;0;-1297000;0;20052000;0;0;0;0;0;0;0;0;1499;44000;0;0;0;0;1830000;SAINT-AUNES;12;3,2;Société anonyme à conseil d'administration
572158905;THOMAS COOK SAS / THOMAS COOK;57215890500487;7912Z;"Jugement de conversion en liquidation judiciaire
Jugement arrêtant un plan de cession
Jugement d'ouverture d'une procédure de redressement judiciaire
Jugement d'ouverture d'une procédure de redressement judiciaire";"08/12/2019
08/12/2019
29/10/2019
11/10/2019";92110;01/01/1957;0 salarié à la fin de l'année;0;42486811;0;0;0;0;0;15252767;23540855;169940148;0;0;9849054;4048980;222631805;0;0;265315560;10000000;-8988952;-21943609;16922688;0;16669024;0;0;1239999;56013632;57792437;103039825;12797180;0;174100;0;0;231057173;265315560;1239999;365252660;0;365252660;0;8563382;375044163;14163;0;277759533;0;62905725;1865515;31847544;13889137;2161404;0;653749;2464902;3290063;396851734;-21807570;2069881;3988773;4561635;-551875;0;9210487;6813486;1990187;6845098;2365389;-21943609;0;9673;0;0;0;0;0;0;0;0;0;0;0;666675;0;0;0;0;-24299325;CLICHY;12;2,9;Société par actions simplifiée
552042285;ELECTROLUX HOME PRODUCTS FRANCE;55204228500080;4643Z;"Dépôt de l'état des créances
Jugement de plan de redressement
Autre arrêt de la Cour d'Appel
Jugement d'extension d'une procédure de redressement judiciaire";"10/07/2019
18/09/2018
31/07/2018
06/03/2018";60300;01/01/1976;De 100 à 199 salariés;0;5396173;0;0;0;0;0;0;37262827;35296328;0;0;4475940;7790;77042884;0;0;82439057;67500000;-62483679;1197326;13133841;0;13411069;0;0;0;0;0;25799432;6708380;694494;22562800;0;129041;55894147;82439057;0;275062649;11459085;286521733;0;4058539;290580276;228534240;0;0;0;39804762;966781;7491720;4468822;2803594;0;2064807;1693349;828989;288657061;1923214;11884;907255;916299;0;0;14866170;13535543;5182172;14687643;178526;1197326;0;0;0;912345;0;3426479;0;0;0;0;0;0;0;0;0;0;0;0;1018800;SENLIS;12;4,6;Société par actions simplifiée
410127948;ALTEO GARDANNE;41012794800058;2442Z;"Jugement de plan de redressement
Autre jugement et ordonnance";"22/01/2021
17/12/2019";13120;25/11/1996;De 500 à 999 salariés;0;58063525;19362479;0;0;37016636;34309;772714;22065917;4680577;0;0;3406573;965466;88304671;0;483536;146851732;60000000;-41602920;-14593039;41671909;0;25902404;0;0;3727931;24363394;0;38922746;8459377;2204288;1196489;0;1575;78875800;146851732;0;206688323;0;206688323;710783;3204237;201995829;3338929;-2533421;64967308;87577;108357834;2732101;20959349;10407019;7227409;0;2068491;726509;-202844;218136260;-16140431;3101378;580682;2196517;649136;1281093;3459261;270915;2692048;3392501;66760;-14593039;0;-575771;247106;3693052;0;37717;1217069;0;0;0;0;0;443;401619;-10205617;319031;883652;0;-15235570;GARDANNE;12;2,9;Société par actions simplifiée
538851205;ADVEO FRANCE;53885120500079;4649Z;"Autre jugement et ordonnance
Autre jugement et ordonnance";"23/01/2020
31/01/2019";77230;27/12/2011;De 250 à 499 salariés;0;101528051;51979;0;0;0;18820614;0;23029219;94419321;0;1590014;598930;396553;138906631;0;0;241123141;62303000;33092979;3749124;100928110;0;2200122;0;0;65586762;28445341;18778;33358932;7659805;1590;2689975;0;233726;137994909;241123141;135475;305483971;0;305483971;0;2740991;308461540;218742747;23512359;1633912;8835;29302901;2508712;14041049;5287479;1062485;0;318760;67910;416299;296903447;11558093;2039020;3441260;3457865;0;13861;272449;0;2881000;3216978;-2944529;3749125;229140;3216454;1432672;1754433;0;3313327;0;0;0;0;0;0;369;0;0;0;0;682004;10139247;DAMMARTIN-EN-GOELE;12;4,8;Société par actions simplifiée
349656678;VALLEGRAIN DISTRIBUTION;34965667800027;1011Z;"Jugement de plan de redressement
Dépôt de l'état des créances
Jugement d'ouverture d'une procédure de redressement judiciaire";"15/11/2020
08/12/2019
16/11/2018";28330;01/01/1989;De 1 à 2 salariés;0;9107890;155903;0;0;539411;0;13638;383627;4194352;0;0;457291;103107;5847328;0;0;14955218;1152213;-66934;-1667819;741862;0;0;0;0;2492866;3064086;0;7044133;1554704;0;36696;0;20870;14213356;14955218;0;84690009;0;84690009;66723;184176;84848703;2481417;0;66203161;19169;10684690;967624;3779685;1317912;240321;259096;154316;0;120703;86228093;-1379391;189;232873;232873;0;0;145;0;1432;55889;-55744;-1667819;0;0;281709;813567;0;14631;0;0;0;0;0;0;0;0;-110077;2627;0;0;-1612075;COUDRAY-AU-PERCHE;12;2,6;Société par actions simplifiée
804790350;NICE MATIN;80479035000024;7010Z;"Dépôt de l'état des créances Loi de 1985
Dépôt de l'état des créances
Jugement arrêtant le plan de sauvegarde
Jugement d'ouverture d'une procédure de sauvegarde";"03/03/2021
31/10/2020
05/04/2020
15/03/2019";06200;22/09/2014;0 salarié pendant l'année;0;8000001;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8000001;1186016;-7661427;14475412;8000001;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8000001;0;38129267;18628567;56757835;0;1373397;58575514;77575;0;4064861;-66015;29306057;863636;18072078;7586811;556308;0;50;0;33552;60494915;-1919400;1841348;732;1025995;1025117;1829251;28131369;2286112;8596365;12561392;15569976;14475412;0;0;0;0;0;0;2172773;0;0;0;0;13866376;502;0;0;0;0;0;-1094564;NICE;12;7,2;Société anonyme à conseil d'administration
508196904;THOMAS COOK BROK AIR SERVICES;50819690400017;7990Z;"Jugement de conversion en liquidation judiciaire
Jugement d'ouverture d'une procédure de redressement judiciaire";"08/12/2019
11/10/2019";92110;23/09/2008;0 salarié à la fin de l'année;0;378550;0;0;0;0;0;912172;406001;10918321;0;0;345786;42199;12624479;0;0;13003029;8000000;-402907;532823;8930147;0;130406;0;0;339;0;509198;3012505;420434;0;0;0;0;3942476;13003029;339;56134082;907075;57041157;0;8490;57049667;0;0;53651228;0;1473568;4164;887816;418224;38;0;0;29017;8805;56472860;576807;41;-1;-1;0;0;38;38;0;0;38;532823;0;44064;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;576849;CLICHY;12;5,5;Société par actions simplifiée
414870121;EUROFOIL FRANCE;41487012100046;2442Z;"Jugement modifiant le plan de redressement
Jugement modifiant le plan de redressement
Dépôt de l'état des créances
Jugement de plan de redressement
Jugement de conversion en redressement judiciaire de la procédure de sauvegarde
Jugement d'ouverture d'une procédure de sauvegarde";"22/09/2019
07/04/2019
03/07/2016
11/05/2016
06/02/2015
28/11/2014";27250;16/12/1997;De 100 à 199 salariés;0;18074489;3157763;7026217;0;4477260;0;872461;9613846;2282456;0;0;4392158;105089;31927250;0;68335;50070074;35050000;-28722072;-2683619;13052906;0;6029895;0;0;0;9728034;60091;13848043;6821100;240445;256242;0;0;30953955;50070074;0;9436478;59231222;68667700;0;893997;69806457;0;0;40879631;1902384;13635296;1129875;7619514;3674328;3276153;0;148647;70953;86929;72423709;-2617252;404066;628787;1252921;0;0;1019848;890985;312550;789822;230026;-2683619;0;-552462;0;0;0;0;0;0;0;0;0;0;0;33318;145358;0;0;0;-3466107;RUGLES;12;3;Société par actions simplifiée
807856596;GROUPE NICE MATIN;80785659600018;5813Z;"Dépôt de l'état des créances Loi de 1985
Dépôt de l'état des créances
Jugement arrêtant le plan de sauvegarde
Jugement d'ouverture d'une procédure de sauvegarde";"18/02/2021
18/09/2020
05/04/2020
15/03/2019";06200;14/11/2014;De 500 à 999 salariés;0;38634278;644150;0;0;0;0;69852;3627529;1898081;0;0;4001265;273537;10514417;0;0;49148695;4000001;-1884005;-1660830;6457695;0;14076999;0;0;1891379;976896;0;4264208;12706226;86606;5535526;0;3153156;28614001;49148695;1014920;24563247;6411731;30974978;669708;2329088;34115714;50531;0;1203566;26310;14853372;672306;12219681;3612310;128042;0;119121;1087170;208741;34181154;-65439;1986814;58068;2838817;2780744;1982852;736827;424119;380601;1480215;-743388;-1660830;0;0;9038;6623769;0;335062;159708;0;0;0;0;7499564;295;0;0;0;0;0;-917442;NICE;12;4,2;Société par actions simplifiée
