SIREN;Dénomination;SIRET;Code APE;Procédures collectives (type);Procédures collectives (date);Code postal;Date de création;Tranche effectifs;Capital souscrit non appelé (I) (AA) 2018 (€);TOTAL (II) (net) (BJNET) 2018 (€);Matières premières, approvisionnements (net) (BLNET) 2018 (€);En cours de production de biens (net) (BNNET) 2018 (€);En cours de production de services (net) (BPNET) 2018 (€);Produits intermédiaires et finis (net) (BRNET) 2018 (€);Marchandises (net) (BTNET) 2018 (€);Avances et acomptes versés sur commandes (net) (BVNET) 2018 (€);Clients et comptes rattachés (3) (net) (BXNET) 2018 (€);Autres créances (3) (net) (BZNET) 2018 (€);Capital souscrit et appelé, non versé (net) (CBNET) 2018 (€);Valeurs mobilières de placement (net) (CDNET) 2018 (€);Disponibilités (net) (CFNET) 2018 (€);Charges constatées d'avance (3) (net) (CHNET) 2018 (€);TOTAL (III) (net) (CJNET) 2018 (€);Primes de remboursement des obligations (CM) 2018 (€);Ecarts de conversion actif (CN) 2018 (€);TOTAL GENERAL(I à VI) (net) (CONET) 2018 (€);Capital social ou individuel (1) (DA) 2018 (€);Report à nouveau (DH) 2018 (€);RESULTAT DE L'EXERCICE (bénéfice ou perte) (DI) 2018 (€);TOTAL (I) (DL) 2018 (€);TOTAL(II) (DO) 2018 (€);TOTAL (III) (DR) 2018 (€);Autres emprunts obligataires (DT) 2018 (€);Emprunts obligataires convertibles (DS) 2018 (€);Emprunts et dettes auprès des établissements de crédit (5) (DU) 2018 (€);Emprunts et dettes financières divers (DV) 2018 (€);Avances et acomptes reçus sur commandes en cours (DW) 2018 (€);Dettes fournisseurs et comptes rattachés (DX) 2018 (€);Dettes fiscales et sociales (DY) 2018 (€);Dettes sur immobilisations et comptes rattachés (DZ) 2018 (€);Autres dettes (EA) 2018 (€);dont comptes courants d'associés de l'exercice N (EA2) 2018 (€);dont comptes courants d'associés de l'exercice N (EA2) 2017 (€);Produits constatés d'avance (EB) 2018 (€);TOTAL (IV) (EC) 2018 (€);TOTAL GENERAL (I à V) (EE) 2018 (€);(5) Dont concours bancaires courants, et soldes créditeurs de banques et CCP (EH) 2018 (€);Chiffre d'affaires net (France) (FJ) 2018 (€);Chiffre d'affaires net (Exportations et livraisons intracommunautaires) (FK) 2018 (€);Chiffre d'affaires net (Total) (FL) 2018 (€);Chiffre d'affaires net (Total) (FL) 2017 (€);Subventions d'exploitation (FO) 2018 (€);Reprises sur amortissements et provisions, transferts de charges (9) (FP) 2018 (€);Total des produits d'exploitation (2) (I) (FR) 2018 (€);Achats de marchandises (y compris droits de douane) (FS) 2018 (€);Variation de stock (marchandises) (FT) 2018 (€);Achats de matières premières et autres approvisionnements (y compris droits de douane) (FU) 2018 (€);Variation de stock (matières premières et approvisionnements) (FV) 2018 (€);Autres achats et charges externes (3) (6 bis) (FW) 2018 (€);Impôts, taxes et versements assimilés (FX) 2018 (€);Salaires et traitements (FY) 2018 (€);Charges sociales (10) (FZ) 2018 (€);Dotations d'exploitation sur immobilisations (dotations aux amortissements) (GA) 2018 (€);Dotations d'exploitation sur immobilisations (dotations aux provisions) (GB) 2018 (€);Dotations d'exploitation sur actif circulant (dotations aux provisions) (GC) 2018 (€);Dotations d'exploitation pour risques et charges (dotations aux provisions) (GD) 2018 (€);Autres charges (12) (GE) 2018 (€);Total des charges d'exploitation (4) (II) (GF) 2018 (€);1 - RESULTAT D'EXPLOITATION (I - II) (GG) 2018 (€);Total des produits financiers (V) (GP) 2018 (€);Intérêts et charges assimilées (GR) 2018 (€);Total des charges financières (VI) (GU) 2018 (€);Dotations financières aux amortissements et provisions (GQ) 2018 (€);Reprises sur provisions & transferts de charges (GM) 2018 (€);Total des produits exceptionnels (VII) (HD) 2018 (€);Reprises sur provisions & transferts de charges (HC) 2018 (€);Dotations exceptionnelles aux amortissements et provisions (6 ter) (HG) 2018 (€);Total des charges exceptionnelles (VIII) (HH) 2018 (€);4 - RESULTAT EXCEPTIONNEL (VII - VIII) (HI) 2018 (€);5 - BENEFICE OU PERTE (Total des produits - total des charges) (HN) 2018 (€);Participation des salariés aux résultats de l'entreprise (HJ) 2018 (€);Impôts sur les bénéfices (HK) 2018 (€);Clients douteux ou litigieux - Montant brut (VA) 2018 (€);Sécurité sociale et autres organismes sociaux - Montant brut (8D) 2018 (€);Impôts sur les bénéfices - Montant brut (8E) 2018 (€);T.V.A. - Montant brut (VW) 2018 (€);Emprunts remboursés en cours d’exercice (VK) 2018 (€);Emprunts souscrits en cours d’exercice - à 1 an au plus (VJ2) 2018 (€);Emprunts souscrits en cours d’exercice - à plus d'un an et 5 ans au plus (VJ3) 2018 (€);Emprunts souscrits en cours d’exercice - à plus de 5 ans (VJ4) 2018 (€);Effets portés à l’escompte et non échus (YS) 2018 (€);Sous‐traitance (YT) 2018 (€);Ecarts de conversion passif (V) (ED) 2018 (€);Production stockée (FM) 2018 (€);Production immobilisée (FN) 2018 (€);(3) Dont Crédit-bail mobilier (HP) 2018 (€);(3) Dont Crédit-bail immobilier (HQ) 2018 (€);3 - RESULTAT COURANT AVANT IMPOTS (I - II + III - IV + V - VI) (GW) 2018 (€);Ville;Nombre de mois de l'exercice comptable 2018;Catégorie juridique (Niveau II)
398471565;ORCHESTRA-PREMAMAN;39847156501990;4771Z;"Jugement de conversion en liquidation judiciaire
Jugement de conversion en liquidation judiciaire
Jugement arrêtant un plan de cession
Jugement arrêtant un plan de cession
Jugement de conversion en redressement judiciaire de la procédure de sauvegarde
Jugement d'ouverture d'une procédure de sauvegarde
Jugement d'ouverture d'une procédure de sauvegarde
Jugement d'ouverture d'une procédure de sauvegarde
Jugement d'ouverture d'une procédure de sauvegarde";"14/02/2021
11/02/2021
07/07/2020
25/06/2020
12/05/2020
25/10/2019
11/10/2019
06/10/2019
27/09/2019";34130;22/09/1994;De 1000 à 1999 salariés;0;241492000;0;0;0;0;206040000;0;49947000;29264000;0;184000;22678000;9895000;318008000;0;1106000;560606000;22246000;-47626000;-26459000;2667000;0;5283000;0;0;171798000;65388000;0;212257000;33291000;0;36267000;0;0;33265000;552266000;560606000;0;532646000;0;532646000;520539000;0;6546000;548654000;0;0;313867000;-12928000;153118000;7845000;39185000;11453000;24680000;0;10260000;0;4106000;551586000;-2932000;2384000;17952000;17952000;0;0;2943000;0;0;11233000;-8290000;-26459000;0;-332000;0;0;0;0;0;0;0;0;0;0;393000;0;0;0;0;-18500000;SAINT-AUNES;12;Société anonyme à conseil d'administration
572158905;THOMAS COOK SAS / THOMAS COOK;57215890500487;7912Z;"Jugement de conversion en liquidation judiciaire
Jugement arrêtant un plan de cession
Jugement d'ouverture d'une procédure de redressement judiciaire
Jugement d'ouverture d'une procédure de redressement judiciaire";"08/12/2019
08/12/2019
29/10/2019
11/10/2019";92110;01/01/1957;0 salarié à la fin de l'année;0;40123285;0;0;0;0;0;18464475;28896261;120885813;0;0;16195623;2675093;187117265;0;632229;227872779;10000000;-16529949;-26132168;5174174;0;11894225;0;0;2348614;7059264;56223184;127078549;13109314;0;4094622;0;0;0;209913547;227872779;2348614;413031650;4172037;417203687;377037520;0;2907492;423144853;687;0;328137724;0;67606421;2026280;32288997;13418974;3053840;2800000;86888;1913361;2690805;454023976;-30879123;5005190;927368;1559598;632229;470871;2155168;2155168;99070;841805;1313362;-26132168;0;12000;0;13109314;0;0;0;0;0;0;0;0;890832;0;0;0;0;-27433530;CLICHY;12;Société par actions simplifiée
552042285;ELECTROLUX HOME PRODUCTS FRANCE;55204228500080;4643Z;"Dépôt de l'état des créances
Jugement de plan de redressement
Autre arrêt de la Cour d'Appel
Jugement d'extension d'une procédure de redressement judiciaire";"10/07/2019
18/09/2018
31/07/2018
06/03/2018";60300;01/01/1976;De 100 à 199 salariés;0;1024254;0;0;0;0;0;0;24083204;85820919;0;3608002;0;11222;113523346;0;0;114547600;67500000;-74231624;-16031680;-15843110;0;9639804;0;0;19456;0;0;77055435;13242734;0;30433280;0;0;0;120750906;114547600;0;284026607;2800800;286827407;288032353;4203;4030942;290862551;226288753;0;0;0;38658976;1197763;9036698;4069814;954537;0;2182950;1863800;154038;284407330;6455221;11142;1357756;1358831;0;0;22851247;22832816;21053278;43990458;-21139211;-16031680;0;0;0;817354;0;9757958;0;0;0;0;0;0;0;0;0;0;0;5107532;SENLIS;12;Société par actions simplifiée
410127948;ALTEO GARDANNE;41012794800058;2442Z;"Jugement de plan de redressement
Autre jugement et ordonnance";"22/01/2021
17/12/2019";13120;25/11/1996;De 500 à 999 salariés;0;66163947;20210827;0;0;38111521;34309;937872;19096127;4255256;0;0;2934305;773072;86353288;0;106136;152623372;60000000;-47776616;2691108;54240059;0;21480298;0;0;1271461;14158504;0;42839732;10562163;6609029;1238265;0;0;2045;76681200;152623372;0;45300146;197714902;243015048;219897192;221720;3175673;241480548;0;0;81292161;-13701971;117876812;3878139;23711255;11688239;7635112;0;907461;966838;1862371;236116418;5364129;197204;525128;1604541;207574;0;2298392;170860;1266587;4197996;-1899603;2691108;0;-633919;1384;4058244;0;18187;1225389;0;0;0;0;0;221815;-11704294;818352;0;0;3956792;GARDANNE;12;Société par actions simplifiée
538851205;ADVEO FRANCE;53885120500079;4649Z;"Autre jugement et ordonnance
Autre jugement et ordonnance";"23/01/2020
31/01/2019";77230;27/12/2011;De 250 à 499 salariés;0;81991641;52718;0;0;0;9596497;0;29592103;2648796;0;1019102;22986662;528035;87959300;0;0;170824571;62303000;17580653;-36759985;45790801;0;4959988;0;0;68345636;916449;46849877;20633242;7900168;0;0;0;0;53500;119978541;170729330;0;0;0;144560239;167304482;0;1533213;146157470;88069409;7339985;1003180;0;26946755;1749691;9661012;4095910;753980;0;378717;39900;199844;140238382;5919088;961573;2464158;28956799;26492641;0;14499250;1326326;23969087;29183255;-14684005;-36759986;-158;0;775861;1305195;0;3932112;0;0;0;0;0;0;0;0;0;0;262633;-22076138;DAMMARTIN-EN-GOELE;12;Société par actions simplifiée
349656678;VALLEGRAIN DISTRIBUTION;34965667800027;1011Z;"Jugement de plan de redressement
Dépôt de l'état des créances
Jugement d'ouverture d'une procédure de redressement judiciaire";"15/11/2020
08/12/2019
16/11/2018";28330;01/01/1989;De 1 à 2 salariés;0;9751899;230386;0;0;412368;0;69595;140877;3063459;0;0;2096523;75110;6088318;0;0;15840217;1152213;-1371409;-2202790;-1011308;0;73200;0;0;696324;2721540;42320;9786727;3209998;197297;94908;0;0;29212;16778325;15840217;0;85408290;0;85408290;88579973;424690;80209;85823466;2660241;0;62084632;21358;14073068;965229;5009780;1450456;441861;100000;170361;0;267185;87244171;-1420704;91499;226371;299571;73200;0;2284813;0;2672121;2858828;-574014;-2202790;0;0;478455;2462523;0;3663;0;0;0;0;0;0;0;-112605;12458;0;0;-1628776;COUDRAY-AU-PERCHE;12;Société par actions simplifiée
414870121;EUROFOIL FRANCE;41487012100046;2442Z;"Jugement modifiant le plan de redressement
Jugement modifiant le plan de redressement
Dépôt de l'état des créances
Jugement de plan de redressement
Jugement de conversion en redressement judiciaire de la procédure de sauvegarde
Jugement d'ouverture d'une procédure de sauvegarde";"22/09/2019
07/04/2019
03/07/2016
11/05/2016
06/02/2015
28/11/2014";27250;16/12/1997;De 100 à 199 salariés;0;14055924;3563232;7011269;0;4059701;0;586715;11625430;2715479;0;0;1861111;129174;31552111;0;28070;45636105;13154935;-1852464;-3405000;7897471;0;5272042;0;0;0;12587304;0;13237569;5802543;324490;495354;0;0;0;32447260;45636105;0;0;0;84242553;73932341;0;497226;85134260;0;0;55850697;1564247;14936236;1305598;7344648;3685495;3203873;0;72189;272300;64723;88300006;-3165746;127427;848131;1067074;0;0;962745;672697;0;864763;97982;-3405000;0;-602411;0;3696000;0;0;0;0;0;0;0;0;19332;386383;0;0;0;-4105392;RUGLES;12;Société par actions simplifiée
508196904;THOMAS COOK BROK AIR SERVICES;50819690400017;7990Z;"Jugement de conversion en liquidation judiciaire
Jugement d'ouverture d'une procédure de redressement judiciaire";"08/12/2019
11/10/2019";92110;23/09/2008;0 salarié à la fin de l'année;0;378474;0;0;0;0;0;1699720;10014794;3279753;0;0;614947;3194;15612408;0;0;15990881;8000000;-402908;962384;9359631;0;146050;0;0;0;0;828703;4986717;637434;0;32088;0;0;257;6485200;15990881;0;79532001;140618;79672619;64145105;0;23537;79810952;0;0;76215070;0;913008;17791;830379;339813;38;0;0;44846;10;78360955;1449997;-139;10801;10801;0;0;38;38;0;0;38;962384;0;476711;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1439057;CLICHY;12;Société par actions simplifiée
807856596;GROUPE NICE MATIN;80785659600018;5813Z;"Dépôt de l'état des créances
Dépôt de l'état des créances Loi de 1985
Dépôt de l'état des créances
Jugement arrêtant le plan de sauvegarde
Jugement d'ouverture d'une procédure de sauvegarde";"12/12/2021
18/02/2021
18/09/2020
05/04/2020
15/03/2019";06200;14/11/2014;De 500 à 999 salariés;0;38201266;1252007;0;0;0;0;0;5215058;4859006;0;0;5059050;311744;16696865;0;0;54898131;4848001;-11849868;-1996623;-1986287;0;7106151;0;0;2443815;978616;0;6103561;13595112;425884;23353530;0;0;2877748;49778266;54898131;0;81295766;0;81295766;75366254;496665;1878347;83921469;104465;0;5499424;-419800;32654438;1529984;32136139;12163860;673823;0;240014;1058105;132274;85772727;-1851258;428962;179536;296336;116499;381831;1286974;0;0;1564965;-277991;-1996623;0;0;374562;5925577;0;1371087;161565;0;0;0;0;0;0;0;0;0;0;-1718632;NICE;12;Société par actions simplifiée
341816064;DESMAZIERES;34181606404273;4772A;"Jugement modifiant le plan de redressement
Dépôt de l'état des créances
Jugement de plan de redressement
Jugement arrêtant un plan de cession
Jugement d'ouverture d'une procédure de redressement judiciaire";"03/12/2021
12/05/2019
13/02/2019
27/12/2018
14/02/2018";59175;16/06/1987;De 500 à 999 salariés;0;15990920;24836;0;0;0;21485123;1445381;577153;5173672;0;0;13316551;234244;42256963;0;0;58247883;3664603;-17588013;-12203369;9255217;0;1654421;0;0;17017956;1764208;44371;11052444;16053742;279893;362285;0;0;763342;47338243;58247883;10297422;86783866;1096;86784962;108896892;102640;135594;87024095;33272883;7219382;35459;-1610;27853599;2075692;18786497;5052545;1800285;0;3217192;9370;160289;99481587;-12457492;904498;134558;824741;140163;460006;2566017;1089134;577281;2391651;174366;-12203369;0;0;1044133;3328140;0;912180;0;0;0;0;0;0;0;0;0;0;748681;-12377735;TEMPLEMARS;12;Société par actions simplifiée
570201244;GERVAIS MATERIAUX;57020124400235;4673A;"Autre jugement de clôture
Dépôt de l'état des créances
Jugement arrêtant le plan de sauvegarde
Jugement d'ouverture d'une procédure de sauvegarde";"03/11/2019
05/01/2012
29/12/2009
03/02/2009";34000;01/01/1957;De 100 à 199 salariés;0;12048326;0;0;0;0;9391322;29541;6445877;5661855;0;0;2678809;276889;24484293;0;0;36532620;3311367;721890;1035930;5793518;0;17000;0;0;637604;23169675;187850;4465090;1366004;25263;862123;0;0;8495;30722102;36532620;0;51704576;0;51704576;50816270;27916;655781;52463630;36044576;-346015;0;0;8371747;802503;3979618;1144269;730042;0;254147;1500;371368;51353755;1109875;1134;39603;145704;106102;0;275832;7333;45188;119904;155928;1035930;180984;-95681;2570472;566580;0;170803;0;0;0;0;0;0;0;0;0;0;0;965305;MONTPELLIER;12;Société par actions simplifiée
803216258;SKTB ALUMINIUM;80321625800027;2442Z;"Dépôt de l'état des créances
Jugement de conversion en liquidation judiciaire
Jugement d'ouverture d'une procédure de redressement judiciaire";"15/11/2019
26/04/2019
01/06/2018";54730;01/07/2014;0 salarié à la fin de l'année;0;3819182;2185566;704111;0;399357;0;1375827;1140350;948422;0;0;111438;108869;6973943;0;0;10793125;500000;0;-6281146;-2799611;0;200980;0;0;2177640;795385;0;8379305;1983002;0;56422;0;0;0;13391756;10793125;509153;18740462;46494143;65234605;65032401;0;153876;64340013;0;0;55018278;1475790;7770360;395778;2910322;1375622;680101;0;105820;9813;0;69741888;-5401875;969;172578;172578;0;0;41386;0;639557;737227;-695840;-6281146;0;11822;231307;1019752;0;309176;907122;0;0;0;0;0;0;-1048468;0;38038;0;-5573483;GORCY;12;Société par actions simplifiée
319416988;SOMASCO;31941698800024;4532Z;"Jugement mettant fin à la procédure de sauvegarde
Jugement modifiant le plan de sauvegarde
Jugement modifiant le plan de sauvegarde
Jugement modifiant le plan de sauvegarde
Jugement modifiant le plan de sauvegarde
Autre jugement et ordonnance
Jugement d'ouverture d'une procédure de sauvegarde";"30/11/2019
29/07/2016
12/02/2016
14/12/2014
12/11/2013
26/03/2013
10/07/2012";97300;04/03/1980;De 100 à 199 salariés;0;3306079;3169;90593;0;0;16636027;0;5073215;2944516;0;0;2382478;171600;27301598;0;0;30607677;1800000;1723308;2268908;6009189;0;153897;0;0;0;3448029;272897;10376043;3398189;1432;6936781;0;0;11220;24444591;30607677;0;58822260;0;58822260;51710108;1000;161523;60272223;34158541;181304;9278840;3101;5704499;648681;4020518;1569010;534679;0;620367;108000;733068;57560609;2711614;1075;165827;165827;0;0;6569;6554;9;44429;-37860;2268908;52545;187549;1084815;1113090;0;10688;533064;0;0;0;0;0;0;35771;869746;265897;0;2546862;CAYENNE;12;Société par actions simplifiée
