SIREN,Dénomination,SIRET,Code APE,Procédures collectives (type),Procédures collectives (date),Code postal,Date de création,Tranche effectifs,Catégorie juridique (Niveau I),Capital souscrit non appelé (I) (AA) 2016 (€),TOTAL (II) (net) (BJNET) 2016 (€),"Matières premières, approvisionnements (net) (BLNET) 2016 (€)",En cours de production de biens (net) (BNNET) 2016 (€),En cours de production de services (net) (BPNET) 2016 (€),Produits intermédiaires et finis (net) (BRNET) 2016 (€),Marchandises (net) (BTNET) 2016 (€),Avances et acomptes versés sur commandes (net) (BVNET) 2016 (€),Clients et comptes rattachés (3) (net) (BXNET) 2016 (€),Autres créances (3) (net) (BZNET) 2016 (€),"Capital souscrit et appelé, non versé (net) (CBNET) 2016 (€)",Valeurs mobilières de placement (net) (CDNET) 2016 (€),Disponibilités (net) (CFNET) 2016 (€),Charges constatées d'avance (3) (net) (CHNET) 2016 (€),TOTAL (III) (net) (CJNET) 2016 (€),Primes de remboursement des obligations (CM) 2016 (€),Ecarts de conversion actif (CN) 2016 (€),TOTAL GENERAL(I à VI) (net) (CONET) 2016 (€),Capital social ou individuel (1) (DA) 2016 (€),Report à nouveau (DH) 2016 (€),RESULTAT DE L'EXERCICE (bénéfice ou perte) (DI) 2016 (€),TOTAL (I) (DL) 2016 (€),TOTAL(II) (DO) 2016 (€),TOTAL (III) (DR) 2016 (€),Autres emprunts obligataires (DT) 2016 (€),Emprunts obligataires convertibles (DS) 2016 (€),Emprunts et dettes auprès des établissements de crédit (5) (DU) 2016 (€),Emprunts et dettes financières divers (DV) 2016 (€),Avances et acomptes reçus sur commandes en cours (DW) 2016 (€),Dettes fournisseurs et comptes rattachés (DX) 2016 (€),Dettes fiscales et sociales (DY) 2016 (€),Dettes sur immobilisations et comptes rattachés (DZ) 2016 (€),Autres dettes (EA) 2016 (€),dont comptes courants d'associés de l'exercice N (EA2) 2016 (€),Produits constatés d'avance (EB) 2016 (€),TOTAL (IV) (EC) 2016 (€),TOTAL GENERAL (I à V) (EE) 2016 (€),"(5) Dont concours bancaires courants, et soldes créditeurs de banques et CCP (EH) 2016 (€)",Chiffre d'affaires net (France) (FJ) 2016 (€),Chiffre d'affaires net (Exportations et livraisons intracommunautaires) (FK) 2016 (€),Chiffre d'affaires net (Total) (FL) 2016 (€),Subventions d'exploitation (FO) 2016 (€),"Reprises sur amortissements et provisions, transferts de charges (9) (FP) 2016 (€)",Total des produits d'exploitation (2) (I) (FR) 2016 (€),Achats de marchandises (y compris droits de douane) (FS) 2016 (€),Variation de stock (marchandises) (FT) 2016 (€),Achats de matières premières et autres approvisionnements (y compris droits de douane) (FU) 2016 (€),Variation de stock (matières premières et approvisionnements) (FV) 2016 (€),Autres achats et charges externes (3) (6 bis) (FW) 2016 (€),"Impôts, taxes et versements assimilés (FX) 2016 (€)",Salaires et traitements (FY) 2016 (€),Charges sociales (10) (FZ) 2016 (€),Dotations d'exploitation sur immobilisations (dotations aux amortissements) (GA) 2016 (€),Dotations d'exploitation sur immobilisations (dotations aux provisions) (GB) 2016 (€),Dotations d'exploitation sur actif circulant (dotations aux provisions) (GC) 2016 (€),Dotations d'exploitation pour risques et charges (dotations aux provisions) (GD) 2016 (€),Autres charges (12) (GE) 2016 (€),Total des charges d'exploitation (4) (II) (GF) 2016 (€),1 - RESULTAT D'EXPLOITATION (I - II) (GG) 2016 (€),Total des produits financiers (V) (GP) 2016 (€),Intérêts et charges assimilées (GR) 2016 (€),Total des charges financières (VI) (GU) 2016 (€),Dotations financières aux amortissements et provisions (GQ) 2016 (€),Reprises sur provisions & transferts de charges (GM) 2016 (€),Total des produits exceptionnels (VII) (HD) 2016 (€),Reprises sur provisions & transferts de charges (HC) 2016 (€),Dotations exceptionnelles aux amortissements et provisions (6 ter) (HG) 2016 (€),Total des charges exceptionnelles (VIII) (HH) 2016 (€),4 - RESULTAT EXCEPTIONNEL (VII - VIII) (HI) 2016 (€),5 - BENEFICE OU PERTE (Total des produits - total des charges) (HN) 2016 (€),Participation des salariés aux résultats de l'entreprise (HJ) 2016 (€),Impôts sur les bénéfices (HK) 2016 (€),Clients douteux ou litigieux - Montant brut (VA) 2016 (€),Sécurité sociale et autres organismes sociaux - Montant brut (8D) 2016 (€),Impôts sur les bénéfices - Montant brut (8E) 2016 (€),T.V.A. - Montant brut (VW) 2016 (€),Emprunts remboursés en cours d’exercice (VK) 2016 (€),Emprunts souscrits en cours d’exercice - à 1 an au plus (VJ2) 2016 (€),Emprunts souscrits en cours d’exercice - à plus d'un an et 5 ans au plus (VJ3) 2016 (€),Emprunts souscrits en cours d’exercice - à plus de 5 ans (VJ4) 2016 (€),Effets portés à l’escompte et non échus (YS) 2016 (€),Sous‐traitance (YT) 2016 (€),Effectif moyen du personnel (YP) 2016,Ecarts de conversion passif (V) (ED) 2016 (€),Production stockée (FM) 2016 (€),Production immobilisée (FN) 2016 (€),(3) Dont Crédit-bail mobilier (HP) 2016 (€),(3) Dont Crédit-bail immobilier (HQ) 2016 (€),3 - RESULTAT COURANT AVANT IMPOTS (I - II + III - IV + V - VI) (GW) 2016 (€),Ville,Nombre de mois de l'exercice comptable 2016,Notation NOTA-PME 2016,Catégorie juridique (Niveau II)
789367174,STANLEY SECURITY FRANCE,78936717400016,8020Z,,,94200.0,09/11/2012,De 1000 à 1999 salariés,Société commerciale,0,160370840,0,1750473,0,0,3511241,221920,68033957,14516240,0,0,3028971,830800,91893603,0,0,252264443,80180017,-39704499,-63828662,97665838,0,13192322,0,0,1594520,47756600,0,15235921,38079444,0,1245891,0,37493733,141406109,252264443,0,173482470,0,173482470,0,5744852,200683735,24230095,-504686,223836,0,48446248,4282665,73748164,26608394,20596007,61000000,339246,1287659,1408522,261666149,-60982414,24337,4959,23804,0,0,3771478,1760699,1117012,6637837,-2866359,-63828662,0,-19578,0,9500654,0,20870816,0,0,0,0,0,0,0,175,256055,20635769,0,0,-60981881,IVRY-SUR-SEINE,12,"3,4",
418483129,LITFERT,41848312900031,4675Z,,,35700.0,15/04/1998,De 3 à 5 salariés,Société commerciale,0,57354,0,0,0,0,1523794,2384,151303,929819,0,0,9306499,60185,11973987,0,0,12031341,442260,0,1274349,8444154,0,58500,0,0,1234281,0,171129,1230754,892521,0,0,0,0,3528686,12031341,0,0,0,96483935,0,0,96597196,79617648,3501570,0,0,11066497,82948,191413,88838,16529,0,0,0,9796,94575241,2021955,108971,0,136561,0,0,2200,0,0,26441,-24241,1274349,38506,657269,0,63782,65485,611546,0,0,0,0,0,0,0,0,0,0,0,0,1994365,RENNES,12,"6,8",
334170990,SAVOYE / A-SIS  (ET OU)  LOGARITHME,33417099000116,7112B,,,21000.0,02/12/1985,De 500 à 999 salariés,Société commerciale,0,1132521,0,0,246742,0,37978,3679,14432126,7945873,0,0,84367,239314,22990080,0,2260,24124861,133000,3294928,777682,4218910,132989,1687371,0,0,864173,0,9916747,2761753,4432677,13626,72517,0,0,18061493,24124861,264173,22586642,4278495,26865138,0,290695,27169989,0,0,1355743,739,7334632,701223,10089426,4868330,368037,0,31577,620631,349079,25719418,1450571,25020,915,9558,2260,17247,0,0,0,525,-525,777682,248686,439139,51420,1951977,0,661963,0,0,0,0,0,0,0,24099,13627,0,32518,0,1466033,DIJON,12,"5,9",
332552413,BERNIER ORLEANS / BERNIER,33255241300061,4511Z,,,45400.0,05/04/1985,De 100 à 199 salariés,Société commerciale,0,3402017,0,0,46479,0,15187407,8300,9424210,3281409,0,23,891822,139431,28979082,0,0,32381098,2930800,1296624,561131,5552914,0,109961,0,0,10894276,15000,94901,12104556,1741968,1504,1762742,0,103276,26718223,32381098,7370681,86434859,168172,86603031,4534,867857,87471325,76640434,-2693236,0,0,5573144,450586,3970556,1634883,352214,22800,260539,4533,62125,86278579,1192746,46255,285061,503382,218321,0,41087,12310,11322,41757,-669,561131,27780,146038,191325,593833,0,494658,352705,0,0,0,0,0,0,0,-10838,0,80711,0,735618,FLEURY-LES-AUBRAIS,12,"3,4",
341776094,NEGOCE RESEAU CORSE,34177609400037,4671Z,,,20167.0,03/06/1987,De 3 à 5 salariés,Société commerciale,0,2274786,0,0,0,0,18551,0,1156370,241005,0,0,2973156,3740,4392822,0,0,6667607,152840,1279278,898224,3645968,0,3653,0,0,0,0,0,2391844,90255,0,405013,0,0,3017986,6667607,0,62472912,0,62472912,0,0,62507624,58741316,-6947,0,0,1951910,84287,200740,66579,0,0,0,0,464,61162603,1345021,6770,0,2128,0,0,1504,0,0,3241,-1737,898224,0,449702,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1349663,SARROLA-CARCOPINO,12,6,
397717083,FIFERDIS,39771708300026,4711F,,,72400.0,23/06/1994,De 200 à 249 salariés,Société commerciale,0,26054031,0,0,0,0,6487282,9848,217250,2054243,0,7323334,1330929,170215,17593104,0,0,43647136,500000,0,1489687,15335245,0,543269,0,0,18093346,1117605,0,5610832,2482898,226915,237021,0,0,27768620,43647136,0,0,0,66391166,35994,122537,66874950,51132688,-443643,151380,0,4525847,983170,4434252,1438999,1925187,0,54352,0,19305,64221538,2653412,179930,10674,161286,0,0,63646,0,227885,235021,-171374,1489687,427529,583466,0,0,0,0,0,0,0,0,0,0,180,0,0,0,0,0,2672057,CHERRE-AU,12,"5,8",
338298219,MONTS FOURNIL,33829821900084,1071A,,,85160.0,15/06/1986,De 250 à 499 salariés,Société commerciale,0,23695257,928865,0,0,1724546,934801,15506,8295941,2411468,-20,2000000,3547843,868922,20727870,992,0,44424522,1129600,0,1776602,24581450,0,22000,0,0,6934931,448457,0,7667844,3938235,0,831606,0,0,19821073,44424522,0,62865994,80000,62945994,70290,687089,63815466,10021628,-138541,14382519,-29664,19091896,1373706,8461430,3563181,1610510,0,459799,0,317637,59114102,4701363,283015,411865,1426265,1014400,184000,979177,0,59504,1000752,-21574,1776602,401275,1358661,0,1591900,645230,241253,2306375,0,0,0,0,23100,277,0,112093,0,406602,1105661,3558113,SAINT-JEAN-DE-MONTS,12,"6,3",
800266587,SCHILDIS,80026658700024,4711F,,,67300.0,07/02/2014,De 200 à 249 salariés,Société commerciale,0,17251806,0,0,0,0,4199812,0,1329812,819325,0,0,1268714,299123,7916787,0,0,25168593,17669000,0,278326,18033929,0,97245,0,0,2782,104305,12624,4102609,2278855,0,528442,0,7801,7037418,25168593,0,55449551,0,55449551,0,232536,55929390,43365690,-124077,1040,0,4253339,941509,4577909,1982741,356101,0,101065,0,35863,55491180,438210,20,7156,7156,0,0,30638,0,90000,137678,-107040,278326,0,45707,3310,651453,0,92395,0,0,0,0,0,0,232,0,0,0,0,0,431073,SCHILTIGHEIM,12,5,
503450462,BAYWA R.E. FRANCE,50345046200034,7112B,,,75011.0,15/04/2008,De 50 à 99 salariés,Société commerciale,0,31939448,0,0,17659161,0,0,74736,2335853,2240276,0,0,105482,96173,22511681,0,0,54451129,200000,-4540675,7755718,3423163,0,50000,0,0,936,39637333,6000,2013966,1431303,5938,1533081,0,6349410,50977966,54451129,0,1640082,0,1640082,0,57481,12650369,0,0,0,0,12487270,52612,1983852,892373,77802,0,0,0,4898,15498807,-2848437,199523,392003,392003,0,0,10801078,2377,0,4443,10796635,7755718,0,0,2335853,1431303,0,0,0,0,0,0,0,0,0,0,10952294,0,0,0,-3040917,PARIS 11,12,"5,7",
381247683,DELPEYRAT CHEVALLIER,38124768300075,1013A,,,64390.0,02/01/1991,De 50 à 99 salariés,Société commerciale,0,20801094,751482,23462733,0,26768,0,7282,3580956,587822,0,0,3206,9899,28430150,0,0,49231245,8100000,0,-142882,17720375,0,0,0,0,1431,24186734,0,6656788,665914,0,0,0,0,31510869,49231245,23147033,58931233,0,58931233,893,81087,61450385,0,0,53149964,-62469,4340273,876492,1574709,552673,850472,0,68205,0,0,61350324,100061,398,236742,236742,0,0,3906,0,0,10917,-7010,-142882,0,-412,0,230,0,0,0,0,0,0,0,0,0,0,2437171,0,0,0,-136283,SAUVETERRE-DE-BEARN,12,"2,7",
