SIREN;Dénomination;Code APE;Adresse;Code postal;Tranche effectifs;SIRET;Date de création;TOTAL (II) (net) (BJNET) 2018 (€);TOTAL (II) (net) (BJNET) 2016 (€);Clients et comptes rattachés (3) (net) (BXNET) 2018 (€);Clients et comptes rattachés (3) (net) (BXNET) 2016 (€);Autres créances (3) (net) (BZNET) 2018 (€);Autres créances (3) (net) (BZNET) 2016 (€);Valeurs mobilières de placement (net) (CDNET) 2018 (€);Valeurs mobilières de placement (net) (CDNET) 2016 (€);Disponibilités (net) (CFNET) 2018 (€);Disponibilités (net) (CFNET) 2016 (€);TOTAL (III) (net) (CJNET) 2018 (€);TOTAL (III) (net) (CJNET) 2016 (€);TOTAL GENERAL(I à VI) (net) (CONET) 2018 (€);TOTAL GENERAL(I à VI) (net) (CONET) 2016 (€);Capital social ou individuel (1) (DA) 2018 (€);Capital social ou individuel (1) (DA) 2016 (€);Report à nouveau (DH) 2018 (€);Report à nouveau (DH) 2016 (€);RESULTAT DE L'EXERCICE (bénéfice ou perte) (DI) 2018 (€);RESULTAT DE L'EXERCICE (bénéfice ou perte) (DI) 2016 (€);TOTAL (I) (DL) 2018 (€);TOTAL (I) (DL) 2016 (€);TOTAL(II) (DO) 2018 (€);TOTAL(II) (DO) 2016 (€);TOTAL (III) (DR) 2018 (€);TOTAL (III) (DR) 2016 (€);Emprunts et dettes auprès des établissements de crédit (5) (DU) 2018 (€);Emprunts et dettes auprès des établissements de crédit (5) (DU) 2016 (€);Dettes fournisseurs et comptes rattachés (DX) 2018 (€);Dettes fournisseurs et comptes rattachés (DX) 2016 (€);Dettes fiscales et sociales (DY) 2018 (€);Dettes fiscales et sociales (DY) 2016 (€);dont comptes courants d'associés de l'exercice N (EA2) 2018 (€);dont comptes courants d'associés de l'exercice N (EA2) 2016 (€);Produits constatés d'avance (EB) 2018 (€);Produits constatés d'avance (EB) 2016 (€);TOTAL (IV) (EC) 2018 (€);TOTAL (IV) (EC) 2016 (€);Emprunts obligataires convertibles (DS) 2018 (€);Emprunts obligataires convertibles (DS) 2016 (€);Autres emprunts obligataires (DT) 2018 (€);Autres emprunts obligataires (DT) 2016 (€);Emprunts et dettes financières divers (DV) 2018 (€);Emprunts et dettes financières divers (DV) 2016 (€);(5) Dont concours bancaires courants, et soldes créditeurs de banques et CCP (EH) 2018 (€);(5) Dont concours bancaires courants, et soldes créditeurs de banques et CCP (EH) 2016 (€);TOTAL GENERAL (I à V) (EE) 2018 (€);TOTAL GENERAL (I à V) (EE) 2016 (€);Chiffre d'affaires net (France) (FJ) 2018 (€);Chiffre d'affaires net (France) (FJ) 2016 (€);Chiffre d'affaires net (Exportations et livraisons intracommunautaires) (FK) 2018 (€);Chiffre d'affaires net (Exportations et livraisons intracommunautaires) (FK) 2016 (€);Salaires et traitements (FY) 2018 (€);Salaires et traitements (FY) 2016 (€);Intérêts et charges assimilées (GR) 2018 (€);Intérêts et charges assimilées (GR) 2016 (€);Crédit client 2018 (j);Crédit client 2016 (j);Crédit fournisseurs 2018 (j);Crédit fournisseurs 2016 (j);Rotation des stocks 2018 (j);Rotation des stocks 2016 (j);BFR 2018 (€);BFR 2016 (€);Fonds de roulement net global 2018 (€);Fonds de roulement net global 2016 (€);BFRE 2018 (€);BFRE 2016 (€);CA par employé 2018 (€);CA par employé 2016 (€);Liquidité générale 2018;Liquidité générale 2016;Liquidité réduite 2018;Liquidité réduite 2016;CAF 2018;CAF 2016;Autonomie financière 2018;Autonomie financière 2016;MARGE COMMERCIALE  2018 (€);MARGE COMMERCIALE  2016 (€);PRODUCTION DE L'EXERCICE 2018 (€);PRODUCTION DE L'EXERCICE 2016 (€);VALEUR AJOUTEE 2018 (€);VALEUR AJOUTEE 2016 (€);EBE ( EXCEDENT BRUT D'EXPLOITATION ) 2018 (€);EBE ( EXCEDENT BRUT D'EXPLOITATION ) 2016 (€);Charges de personnel 2018 (€);Charges de personnel 2016 (€);RESULTAT D'EXPLOITATION 2018 (€);RESULTAT D'EXPLOITATION 2016 (€);RESULTAT COURANT AVANT IMPOTS 2018 (€);RESULTAT COURANT AVANT IMPOTS 2016 (€);Produits financiers 2018 (€);Produits financiers 2016 (€)
789367174;STANLEY SECURITY FRANCE;8020Z;45 BD PAUL VAILLANT COUTURIER;94200;De 1000 à 1999 salariés;78936717400016;09/11/2012;153024315;160370840;68017642;68033957;11919903;14516240;0;0;7045216;3028971;91956392;91893603;244980911;252264443;80180017;80180017;-98759891;-39704499;5907073;-63828662;108451077;97665838;0;0;11267821;13192322;5993186;1594520;16880464;15235921;37270379;38079444;0;0;38530845;37493733;125262013;141406109;0;0;0;0;24628332;47756600;0;0;244980911;252264443;163224721;173482470;0;0;61152846;73748164;0;4959;126,749792034668;119,283877020351;82,7284430013366;63,5699303861334;10,3308703192375;8,19110127382657;-9729319;-3190357;-2684102;-161386;16326744;18956334;120461,048708487;0;1,62898025562448;1,669001223139;1,55036739669558;1,57256440357605;27592293;14572545;44,2691949169868;38,7156576006235;-16914215;-21564807;178122665;192213691;117962752;121978801;29761185;17339578;84137829;100356558;7381791;-60982414;7347625;-60981881;7126;24337
418483129;LITFERT;4675Z;16A RUE DE JOUANET;35700;De 3 à 5 salariés;41848312900031;15/04/1998;27000;57354;136992;151303;1364228;929819;0;0;4442112;9306499;14257028;11973987;14284028;12031341;442260;442260;0;0;1360853;1274349;9726128;8444154;0;0;0;58500;1000000;1234281;1602020;1230754;1099459;892521;0;0;0;0;4557899;3528686;0;0;0;0;0;0;0;0;14284028;12031341;0;0;0;0;230761;191413;0;0;0,469736077100189;0,476984372234265;5,77065211093726;4,12811238024758;21,8140609707787;5,88792242127468;6257019;373084;10699128;9679581;4867324;-616923;0;0;3,99999297337725;5,19254760713458;2,54418747928903;4,52841260736993;1711027;1315119;68,0909334537849;70,1846452527611;12592859;12532111;1183311;0;2731950;2298220;2297683;1935021;335063;280251;2039121;2021955;2016291;1994365;89;108971
334170990;SAVOYE / A-SIS  (ET OU)  LOGARITHME;7112B;18 BD DES GORGETS;21000;De 500 à 999 salariés;33417099000116;02/12/1985;1089981;1132521;8999431;14432126;2301231;7945873;0;0;840188;84367;12951261;22990080;14043109;24124861;133000;133000;2136;3294928;1800520;777682;1948956;4218910;182780;132989;1662779;1687371;540000;864173;2209191;2761753;5493891;4432677;0;0;1836276;0;10237899;18061493;0;0;0;0;0;0;0;264173;14043109;24124861;26111855;22586642;5543086;4278495;11875937;10089426;34;915;86,4739229546082;163,400313167943;61,8631523568791;96,6624805220335;3,97979787805326;4,08910370182581;2413173;5708393;3253362;5792761;1465595;-2463168;0;0;1,58479990902643;1,30291069612432;1,54431845125129;1,28660510301152;1673465;1492246;15,1799434156639;18,0390635204074;-79266;0;31726450;26878765;20785108;18187651;2638366;2528672;17443818;14957756;2467215;1450571;2450639;1466033;9660;25020
332552413;BERNIER ORLEANS / BERNIER;4511Z;30 RUE ANDRE DESSAUX;45400;De 100 à 199 salariés;33255241300061;05/04/1985;2897808;3402017;6225974;9424210;4096665;3281409;23;23;850613;891822;31863007;28979082;34760815;32381098;2930800;2930800;1492439;1296624;715086;561131;5869950;5552914;0;0;207524;109961;9831341;10894276;16666544;12104556;1765117;1741968;0;0;40671;103276;28683341;26718223;0;0;0;0;15000;15000;0;7370681;34760815;32381098;95679937;86434859;0;168172;3950591;3970556;310602;285061;19,7923840867496;33,0996560809363;56,4147975150563;44,7833866323152;79,7023200071169;65,1018596882097;12175371;12278290;13026007;13170135;8064716;8962229;0;0;1,69226373937166;1,24974913712531;0,594675481579408;0,589597740578753;616489;547752;16,8866869203153;17,1486278816117;6913531;7712548;6362177;4932448;7316799;7071851;1117521;1020360;5664714;5605439;1201132;1192746;976260;735618;85730;46255
341776094;NEGOCE RESEAU CORSE;4671Z;LD CHIOSO SOPRANO;20167;De 3 à 5 salariés;34177609400037;03/06/1987;2645216;2274786;2621548;1156370;271345;241005;0;0;2324418;2973156;5230082;4392822;7875298;6667607;152840;152840;165840;1279278;801501;898224;3935806;3645968;0;0;223202;3653;284;0;3134321;2391844;100761;90255;0;0;0;0;3716290;3017986;0;0;0;0;205390;0;0;0;7875298;6667607;0;62472912;0;0;99940;200740;0;0;10,2329005540921;5,63010746695037;12,5294133589341;11,9868272723988;0,0524601480472113;0,110769648506277;-604952;-1467446;1719466;1374835;-878032;-1712191;0;31236456;1,48929646534967;1,52023267542097;1,48615257265392;1,51380722327364;1277489;899961;49,9765977109692;54,6818071311042;3335841;3297910;484576;0;1812554;1786633;1587282;1435027;141741;267319;1132150;1345021;1143065;1349663;12930;6770
397717083;FIFERDIS;4711F;49 RTE DE SAINT CALAIS;72400;De 200 à 249 salariés;39771708300026;23/06/1994;24304988;26054031;193105;217250;2262629;2054243;4630983;7323334;6462099;1330929;19807706;17593104;44112695;43647136;500000;500000;0;0;1960253;1489687;17971799;15335245;0;0;520000;543269;15091305;18093346;6259211;5610832;2689267;2482898;0;0;319;0;25620896;27768620;0;0;0;0;1226448;1117605;0;0;44112695;43647136;0;0;0;0;4856475;4434252;83576;10674;0,800442577983993;0,995316279478106;30,9567470014823;30,5792987978331;31,6090373419031;37,1500057877785;-588514;381176;10504563;9035433;-2987724;-1616371;368741,381909548;368839,811111111;2,1144997968358;2,03593947228134;1,45890697659419;1,27787272838178;3812353;3565714;40,7406507355762;35,1345962310104;16139335;14792123;830949;909998;11947670;11024894;4497383;4204467;6463927;5873251;2953960;2653412;3046371;2672057;177043;179930
338298219;MONTS FOURNIL;1071A;LE CLOUSIS;85160;De 250 à 499 salariés;33829821900084;15/06/1986;21245495;23695257;9275946;8295941;9066964;2411468;0;2000000;2421326;3547843;25968156;20727870;47213651;44424522;1129600;1129600;0;0;1201681;1776602;24475450;24581450;0;0;17158;22000;8417658;6934931;9523354;7667844;3358753;3938235;0;0;0;0;22721044;19821073;0;0;0;0;521726;448457;0;0;47213651;44424522;71596987;62865994;0;80000;9329153;8461430;1700895;411865;39,4071551502579;40,0875188472412;55,7924279134109;53,6210282392814;21,8613259442654;22,4861477790116;9765170;2742342;12186496;8290589;-312731;-538026;258472,877256318;227241,855595668;1,81079195104218;1,596675587137;1,5150373757588;1,30818042103494;3580498;4141533;51,8397740517885;55,3330658234207;4555239;4406593;55697294;48768408;20010418;19730249;5376478;6402222;13252416;12024611;3543659;4701363;1546336;3558113;863806;283015
800266587;SCHILDIS;4711F;90 RTE DU GEN DE GAULLE;67300;De 200 à 249 salariés;80026658700024;07/02/2014;17932342;17251806;1133101;1329812;1258381;819325;0;0;2487801;1268714;9745231;7916787;27677573;25168593;17669000;17669000;650929;0;694641;278326;19135437;18033929;0;0;262542;97245;358311;2782;5059362;4102609;1688665;2278855;0;0;0;7801;8279595;7037418;0;0;0;0;110033;104305;0;0;27677573;25168593;56584792;55449551;0;0;4216993;4577909;184;7156;6,09088664966139;7,29463947026971;31,5926010142427;26,2048529196097;30,3308017974607;27,8657337220701;-553821;-282258;1933981;986455;-2004570;-1392906;0;239006,685344828;1,22296198137789;1,10041617732245;0,629633204719705;0,493728737903628;1238185;592956;69,1369759913559;71,6525115249788;11086340;10642692;1595818;1565246;7705609;7953559;855030;451400;5944449;6560650;811667;438210;821928;431073;10445;20
503450462;BAYWA R.E. FRANCE;7112B;50T RUE DE MALTE;75011;De 50 à 99 salariés;50345046200034;15/04/2008;10807782;31939448;2467968;2335853;3521350;2240276;0;0;82791;105482;21070336;22511681;31878118;54451129;200000;200000;0;-4540675;418651;7755718;9098793;3423163;0;0;50000;50000;6594;936;2489808;2013966;1986698;1431303;0;0;449891;6349410;22729324;50977966;0;0;0;0;17651588;39637333;6594;0;31878118;54451129;3184973;1640082;2033420;0;3008017;1983852;194232;392003;143,85148837966;433,203108645381;49,929307373124;49,056465104062;765,522076183654;1436,01793041313;15916406;11066501;15999192;11171983;12825224;15085400;0;0;4,54004631100197;4,49182652383991;1,32234052070058;0,953120741728734;-1505917;-3022039;28,5424409307977;6,28667038290427;0;0;17473565;12592376;2305788;105106;-2044627;-2823731;4259555;2876225;-1881634;-2848437;-1823036;-3040917;289891;199523
381247683;DELPEYRAT CHEVALLIER;1013A;RTE DE SALIES;64390;De 50 à 99 salariés;38124768300075;02/01/1991;17126177;20801094;3465696;3580956;669890;587822;0;0;5905;3206;29132528;28430150;46258706;49231245;8100000;8100000;0;0;-3146614;-142882;12902733;17720375;0;0;47500;0;917;1431;6542480;6656788;766497;665914;0;0;0;0;33308472;31510869;0;0;0;0;25978216;24186734;25428917;23147033;46258706;49231245;58878807;58931233;0;0;1634981;1574709;501371;236742;17,9037119417178;18,4826855735396;35,9800554007271;35,2194237200077;151,043711367482;150,395765700537;21797285;21104243;21803189;21107445;21117890;20506520;0;0;0,889028551734517;0,932737091412183;0,126425903943907;0,137161284796208;-1237941;694708;27,8925506476554;35,9941638689007;0;0;57464370;61368403;2196418;3940636;-829596;937655;2183537;2127382;-1489540;100061;-1990912;-136283;0;398
