SIREN;Dénomination;SIRET;Code APE;Procédures collectives (type);Procédures collectives (date);Code postal;Date de création;Tranche effectifs;Capital souscrit non appelé (I) (AA) 2018 (€);TOTAL (II) (net) (BJNET) 2018 (€);Matières premières, approvisionnements (net) (BLNET) 2018 (€);En cours de production de biens (net) (BNNET) 2018 (€);En cours de production de services (net) (BPNET) 2018 (€);Produits intermédiaires et finis (net) (BRNET) 2018 (€);Marchandises (net) (BTNET) 2018 (€);Avances et acomptes versés sur commandes (net) (BVNET) 2018 (€);Clients et comptes rattachés (3) (net) (BXNET) 2018 (€);Autres créances (3) (net) (BZNET) 2018 (€);Capital souscrit et appelé, non versé (net) (CBNET) 2018 (€);Valeurs mobilières de placement (net) (CDNET) 2018 (€);Disponibilités (net) (CFNET) 2018 (€);Charges constatées d'avance (3) (net) (CHNET) 2018 (€);TOTAL (III) (net) (CJNET) 2018 (€);Primes de remboursement des obligations (CM) 2018 (€);Ecarts de conversion actif (CN) 2018 (€);TOTAL GENERAL(I à VI) (net) (CONET) 2018 (€);Capital social ou individuel (1) (DA) 2018 (€);Report à nouveau (DH) 2018 (€);RESULTAT DE L'EXERCICE (bénéfice ou perte) (DI) 2018 (€);TOTAL (I) (DL) 2018 (€);TOTAL(II) (DO) 2018 (€);TOTAL (III) (DR) 2018 (€);Autres emprunts obligataires (DT) 2018 (€);Emprunts obligataires convertibles (DS) 2018 (€);Emprunts et dettes auprès des établissements de crédit (5) (DU) 2018 (€);Emprunts et dettes financières divers (DV) 2018 (€);Avances et acomptes reçus sur commandes en cours (DW) 2018 (€);Dettes fournisseurs et comptes rattachés (DX) 2018 (€);Dettes fiscales et sociales (DY) 2018 (€);Dettes sur immobilisations et comptes rattachés (DZ) 2018 (€);Autres dettes (EA) 2018 (€);dont comptes courants d'associés de l'exercice N (EA2) 2018 (€);dont comptes courants d'associés de l'exercice N (EA2) 2017 (€);Produits constatés d'avance (EB) 2018 (€);TOTAL (IV) (EC) 2018 (€);TOTAL GENERAL (I à V) (EE) 2018 (€);(5) Dont concours bancaires courants, et soldes créditeurs de banques et CCP (EH) 2018 (€);Chiffre d'affaires net (France) (FJ) 2018 (€);Chiffre d'affaires net (Exportations et livraisons intracommunautaires) (FK) 2018 (€);Chiffre d'affaires net (Total) (FL) 2018 (€);Chiffre d'affaires net (Total) (FL) 2017 (€);Subventions d'exploitation (FO) 2018 (€);Reprises sur amortissements et provisions, transferts de charges (9) (FP) 2018 (€);Total des produits d'exploitation (2) (I) (FR) 2018 (€);Achats de marchandises (y compris droits de douane) (FS) 2018 (€);Variation de stock (marchandises) (FT) 2018 (€);Achats de matières premières et autres approvisionnements (y compris droits de douane) (FU) 2018 (€);Variation de stock (matières premières et approvisionnements) (FV) 2018 (€);Autres achats et charges externes (3) (6 bis) (FW) 2018 (€);Impôts, taxes et versements assimilés (FX) 2018 (€);Salaires et traitements (FY) 2018 (€);Charges sociales (10) (FZ) 2018 (€);Dotations d'exploitation sur immobilisations (dotations aux amortissements) (GA) 2018 (€);Dotations d'exploitation sur immobilisations (dotations aux provisions) (GB) 2018 (€);Dotations d'exploitation sur actif circulant (dotations aux provisions) (GC) 2018 (€);Dotations d'exploitation pour risques et charges (dotations aux provisions) (GD) 2018 (€);Autres charges (12) (GE) 2018 (€);Total des charges d'exploitation (4) (II) (GF) 2018 (€);1 - RESULTAT D'EXPLOITATION (I - II) (GG) 2018 (€);Total des produits financiers (V) (GP) 2018 (€);Intérêts et charges assimilées (GR) 2018 (€);Total des charges financières (VI) (GU) 2018 (€);Dotations financières aux amortissements et provisions (GQ) 2018 (€);Reprises sur provisions & transferts de charges (GM) 2018 (€);Total des produits exceptionnels (VII) (HD) 2018 (€);Reprises sur provisions & transferts de charges (HC) 2018 (€);Dotations exceptionnelles aux amortissements et provisions (6 ter) (HG) 2018 (€);Total des charges exceptionnelles (VIII) (HH) 2018 (€);4 - RESULTAT EXCEPTIONNEL (VII - VIII) (HI) 2018 (€);5 - BENEFICE OU PERTE (Total des produits - total des charges) (HN) 2018 (€);Participation des salariés aux résultats de l'entreprise (HJ) 2018 (€);Impôts sur les bénéfices (HK) 2018 (€);Clients douteux ou litigieux - Montant brut (VA) 2018 (€);Sécurité sociale et autres organismes sociaux - Montant brut (8D) 2018 (€);Impôts sur les bénéfices - Montant brut (8E) 2018 (€);T.V.A. - Montant brut (VW) 2018 (€);Emprunts remboursés en cours d’exercice (VK) 2018 (€);Emprunts souscrits en cours d’exercice - à 1 an au plus (VJ2) 2018 (€);Emprunts souscrits en cours d’exercice - à plus d'un an et 5 ans au plus (VJ3) 2018 (€);Emprunts souscrits en cours d’exercice - à plus de 5 ans (VJ4) 2018 (€);Effets portés à l’escompte et non échus (YS) 2018 (€);Sous‐traitance (YT) 2018 (€);Ecarts de conversion passif (V) (ED) 2018 (€);Production stockée (FM) 2018 (€);Production immobilisée (FN) 2018 (€);(3) Dont Crédit-bail mobilier (HP) 2018 (€);(3) Dont Crédit-bail immobilier (HQ) 2018 (€);3 - RESULTAT COURANT AVANT IMPOTS (I - II + III - IV + V - VI) (GW) 2018 (€);Ville;Nombre de mois de l'exercice comptable 2018;Catégorie juridique (Niveau II)
330630872;WIBAIE;33063087200027;2512Z;;;49300;16/08/1984;De 250 à 499 salariés;0;13881497;3786257;683060;1019274;0;0;2633;19597012;1798741;0;0;744271;237875;27869123;0;0;41750620;1000000;0;3522816;15948523;0;585894;0;0;4578484;1501275;131434;11866777;5527184;123649;1487400;0;;0;25216203;41750620;0;94876245;15291;94891536;;7434;398069;95321480;1678969;0;38781004;-90272;27786118;1617593;12974893;4180926;2741086;0;116042;57150;35691;89879202;5442278;16430;0;88811;88624;0;430272;250591;552181;554066;-123794;3522816;501890;1221398;0;1754535;0;293267;1777919;0;0;0;0;0;0;-93153;110328;0;0;5369897;CHOLET;12;Société par actions simplifiée
324045756;PURE FISHING EUROPE / MITCHELL;32404575600081;4764Z;;;75116;06/03/1982;De 10 à 19 salariés;0;251533;0;0;0;0;15397137;0;13669505;14882977;0;0;3712809;174730;47837157;0;0;48088691;4032277;0;2891666;20021574;0;1118481;0;0;0;0;0;23238995;794937;2105887;799260;0;0;9556;26948635;48088690;0;34200549;0;34200549;30373968;0;2240232;36440680;39820084;-15518798;1308;0;6684776;106862;2028064;600303;158370;0;641312;72999;422866;35018147;1422532;97897;146977;147124;0;0;2525000;610000;0;764422;1760579;2891666;88000;154218;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1373306;PARIS 16;12;Société par actions simplifiée
435880505;UCC COFFEE FRANCE;43588050500050;1083Z;;;26000;01/01/1958;De 100 à 199 salariés;0;21264621;5077205;90647;0;4768433;337888;127656;7192254;3994326;0;0;284679;91129;21964222;0;0;43228843;300075;-17791727;-2665210;-19988176;0;490891;0;0;1542;47007929;103846;13458908;1344014;209021;5454;0;0;595410;62726129;43228843;1542;31035733;23176059;54211792;52908086;0;399099;56816203;916530;-81008;32799144;1061075;13266105;594015;5174567;1978918;2574409;0;445490;103000;219375;59051624;-2235420;100270;952045;952045;0;0;626584;0;0;204599;421985;-2665210;0;0;0;0;0;0;3177270;0;0;0;0;0;0;2205151;0;0;0;-3087195;VALENCE;12;Société par actions simplifiée
405319245;VALUE RETAIL MANAGEMENT FRANCE;40531924500040;6832A;;;77700;15/04/1996;De 50 à 99 salariés;0;83978;0;0;0;0;0;33624;0;6369546;0;0;3822670;23750;10249590;0;0;10333569;7625;2843538;462580;3314506;0;0;0;0;0;0;0;543827;2626428;0;3893930;0;0;0;7064184;10333569;0;36175377;0;36175377;31305939;0;0;36175391;0;0;0;0;24776769;455336;6981496;3130814;24741;0;0;0;459;35369615;805776;222673;0;219582;0;0;0;0;0;85901;-85901;462580;0;260386;0;889584;0;722566;0;0;0;0;0;2215;-45121;0;0;0;0;808867;SERRIS;12;Société à responsabilité limitée (SARL)
379028178;ANDRE CHENUE;37902817800067;5229B;;;75008;03/07/1990;De 100 à 199 salariés;0;3771023;95757;0;0;0;0;12853;10828162;1027117;0;0;3105698;49768;15119355;0;20031;18910409;614100;1937934;1842517;5805322;0;395121;0;0;53332;501091;754418;7697650;2428446;35667;787209;0;0;433066;12690876;18910409;0;23424966;19175909;42600875;37175046;0;112910;42720018;11580;0;1255991;-3878;28816095;965552;5419680;2536029;365528;0;117578;5350;784;39490290;3229728;115841;27244;184136;2231;0;0;0;0;101475;-101475;1842517;336921;880521;0;884225;0;489186;54144;0;0;0;0;0;19091;0;0;0;0;3161433;PARIS 8;12;Société par actions simplifiée
612016923;EVERAXIS AEROSPACE & DEFENCE / COBHAM SLIPRINGS - COBHAM AVIONICS;61201692300015;2651A;;;92350;01/01/1900;De 100 à 199 salariés;0;2561820;1899991;2002591;0;1064484;0;102933;5360689;18443022;0;0;9709784;78261;38661755;0;318;41223893;4200000;18194157;6911120;30276092;18675;1833105;0;0;0;2246500;1677090;2295528;2706938;0;30556;0;0;137217;9093829;41223893;0;28513844;0;28513844;28639308;0;453384;28847395;0;0;6382260;-98540;6141702;479195;5300813;2619024;197857;0;0;812001;32605;21866917;6980478;2853228;71198;208628;207;0;140561;0;0;263624;-123063;6911120;534503;2056392;0;0;0;0;0;0;0;0;0;0;2192;-230473;0;0;0;9625078;LE PLESSIS-ROBINSON;12;Société par actions simplifiée
309989663;CERNER ENVIZA FRANCE SAS;30998966300161;7320Z;;;75013;01/01/1977;De 100 à 199 salariés;0;113960;0;0;0;0;0;0;10806434;3796653;0;0;0;362725;14965812;0;0;15079772;710467;0;1140892;2127144;0;617548;0;0;0;66466;0;6526780;3077664;1198;0;0;0;2647442;12319550;15079772;0;8590539;12551062;21141601;22215171;2000;1275676;22461512;0;0;0;0;12776138;340097;5082934;2369884;16846;0;0;51010;105324;20742233;1719279;27733;3211;13211;10000;24780;0;0;0;30;-30;1140892;311678;281201;0;692884;0;1475634;0;0;0;0;0;0;15530;0;0;0;0;1733801;PARIS 13;12;Société par actions simplifiée
306242744;HADERMA;30624274400028;4711D;;;49440;01/01/1976;De 50 à 99 salariés;0;2296249;5612;0;0;0;1119786;0;86998;286552;0;1928432;1394463;88943;4910786;0;0;7207035;120000;1764958;466041;3276703;0;0;0;0;1794027;506025;51;1262780;353852;9286;1274;0;0;3037;3930332;7207035;0;0;0;20350503;19550079;15786;84544;20455108;16517237;17507;38077;1395;1092323;182469;1324977;348240;313193;0;7936;0;4376;19847730;607378;31324;31908;31908;0;0;24522;9579;0;5298;19224;466041;0;159976;0;0;0;0;272539;0;0;0;0;0;0;0;0;0;0;606793;CANDE;12;Société par actions simplifiée
799054671;COFALOG;79905467100018;4674A;;;86530;01/01/2014;De 10 à 19 salariés;0;433874;0;0;0;0;2686821;0;1972296;578570;0;0;121602;303026;5662317;0;0;6096191;1450000;-37307;50154;1462847;0;0;0;0;192216;2481724;0;1854449;104952;0;0;0;0;0;4633344;6096191;0;0;0;9203658;6759595;0;114817;9318490;8154506;-728380;52948;0;1232898;40505;340489;94516;41099;0;70270;0;124;9298978;19511;1080;1742;1742;0;0;50871;0;0;5807;45064;50154;0;13759;0;29643;0;27965;0;0;0;0;0;0;0;0;0;0;0;18849;NAINTRE;12;Société par actions simplifiée
390359016;KAREILLIS;39035901600016;4711F;;;54200;01/03/1993;De 50 à 99 salariés;0;2360661;0;0;0;0;1441500;0;91195;343489;0;714802;258699;38559;2888247;0;0;5248908;320000;0;598877;3181365;0;51158;0;0;482866;608323;0;473147;447356;0;2094;0;0;0;2016385;5248908;0;0;0;0;20082029;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1098;141277;0;39280;0;0;0;0;0;0;0;0;0;0;0;0;ECROUVES;12;Société par actions simplifiée
